H,N,year,i,p_last,p_zero
30,1,1991,302,0.6866666666666666,0.6866666666666666
30,5,1991,302,0.9433333333333334,0.9433333333333334
30,10,1991,302,0.9633333333333334,0.9633333333333334
30,20,1991,302,1.0,1.0
30,50,1991,302,1.0,1.0
30,1,1991,323,0.4866666666666667,0.4866666666666667
30,5,1991,323,0.6633333333333333,0.6633333333333333
30,10,1991,323,0.6766666666666666,0.6766666666666666
30,20,1991,323,0.67,0.67
30,50,1991,323,0.6566666666666666,0.6566666666666666
30,1,1991,344,0.39666666666666667,0.39666666666666667
30,5,1991,344,0.33,0.33
30,10,1991,344,0.26,0.26
30,20,1991,344,0.23666666666666666,0.23666666666666666
30,50,1991,344,0.07333333333333333,0.07333333333333333
30,1,1991,365,0.6133333333333333,0.6133333333333333
30,5,1991,365,0.6166666666666667,0.6166666666666667
30,10,1991,365,0.65,0.65
30,20,1991,365,0.66,0.66
30,50,1991,365,0.7066666666666667,0.7066666666666667
30,1,1991,386,0.7133333333333334,0.7133333333333334
30,5,1991,386,0.9233333333333333,0.9233333333333333
30,10,1991,386,0.9833333333333333,0.9833333333333333
30,20,1991,386,1.0,1.0
30,50,1991,386,1.0,1.0
30,1,1991,407,0.68,0.68
30,5,1991,407,0.8833333333333333,0.8833333333333333
30,10,1991,407,0.9633333333333334,0.9633333333333334
30,20,1991,407,0.99,0.99
30,50,1991,407,1.0,1.0
30,1,1991,428,0.7766666666666666,0.7766666666666666
30,5,1991,428,0.9066666666666666,0.9066666666666666
30,10,1991,428,0.9366666666666666,0.9366666666666666
30,20,1991,428,0.9933333333333333,0.9933333333333333
30,50,1991,428,1.0,1.0
30,1,1991,449,0.69,0.69
30,5,1991,449,0.8533333333333334,0.8533333333333334
30,10,1991,449,0.9266666666666666,0.9266666666666666
30,20,1991,449,0.9766666666666667,0.9766666666666667
30,50,1991,449,1.0,1.0
30,1,1991,470,0.5666666666666667,0.5666666666666667
30,5,1991,470,0.6433333333333333,0.6433333333333333
30,10,1991,470,0.7566666666666667,0.7566666666666667
30,20,1991,470,0.8133333333333334,0.8133333333333334
30,50,1991,470,0.9166666666666666,0.9166666666666666
30,1,1991,491,0.6633333333333333,0.6633333333333333
30,5,1991,491,0.93,0.93
30,10,1991,491,0.9933333333333333,0.9933333333333333
30,20,1991,491,1.0,1.0
30,50,1991,491,1.0,1.0
30,1,1992,512,0.48,0.48
30,5,1992,512,0.52,0.52
30,10,1992,512,0.48333333333333334,0.48333333333333334
30,20,1992,512,0.46,0.46
30,50,1992,512,0.45,0.45
30,1,1992,533,0.2733333333333333,0.2733333333333333
30,5,1992,533,0.14333333333333334,0.14333333333333334
30,10,1992,533,0.06,0.06
30,20,1992,533,0.02,0.02
30,50,1992,533,0.0,0.0
30,1,1992,554,0.5233333333333333,0.5233333333333333
30,5,1992,554,0.52,0.52
30,10,1992,554,0.5666666666666667,0.5666666666666667
30,20,1992,554,0.53,0.53
30,50,1992,554,0.51,0.51
30,1,1992,575,0.84,0.84
30,5,1992,575,0.9233333333333333,0.9233333333333333
30,10,1992,575,0.9633333333333334,0.9633333333333334
30,20,1992,575,0.9933333333333333,0.9933333333333333
30,50,1992,575,1.0,1.0
30,1,1992,596,0.4766666666666667,0.4766666666666667
30,5,1992,596,0.41,0.41
30,10,1992,596,0.45666666666666667,0.45666666666666667
30,20,1992,596,0.28,0.28
30,50,1992,596,0.17333333333333334,0.17333333333333334
30,1,1992,617,0.6833333333333333,0.6833333333333333
30,5,1992,617,0.8933333333333333,0.8933333333333333
30,10,1992,617,0.9533333333333334,0.9533333333333334
30,20,1992,617,0.9966666666666667,0.9966666666666667
30,50,1992,617,1.0,1.0
30,1,1992,638,0.6966666666666667,0.6966666666666667
30,5,1992,638,0.9133333333333333,0.9133333333333333
30,10,1992,638,0.95,0.95
30,20,1992,638,1.0,1.0
30,50,1992,638,1.0,1.0
30,1,1992,659,0.41,0.41
30,5,1992,659,0.49,0.49
30,10,1992,659,0.4666666666666667,0.4666666666666667
30,20,1992,659,0.49,0.49
30,50,1992,659,0.5266666666666666,0.5266666666666666
30,1,1992,680,0.49333333333333335,0.49333333333333335
