strategy,split,cagr,sharpe,max_dd,edge_pp
v3,A1,0.22877606618264035,0.9039063430302811,-0.35390577141144486,8.79670603470213
C,A1,0.2576568262769301,1.0036967628116797,-0.3539057714114448,11.684782044131104
v3,A2,0.35372846663093793,0.8896115365852714,-0.35390577141144475,20.66036403684246
C,A2,0.38451709931108313,0.9483331770081319,-0.3539057714114449,23.739227304856982
v3,A3,0.3894938823404377,0.8985786767713427,-0.35390577141144486,24.197761138591733
C,A3,0.430224023203025,0.9619736794064266,-0.35390577141144486,28.270775224850464
v3,R1_GFC,1.0879351638068608,1.2497703444569324,-0.4745918757975244,108.74625678080375
C,R1_GFC,1.0879351638068608,1.2497703444569324,-0.4745918757975244,108.74625678080375
v3,R2,0.43128261774350896,1.3788435384137174,-0.21278097184504646,27.50203975192358
C,R2,0.4854093879914394,1.54110717735788,-0.2127809718450466,32.914716776716624
v3,R3,0.14492104439496223,0.7301722273690158,-0.1496678898420978,-1.5240653660877124
C,R3,0.17006813149774525,0.821803629295777,-0.15837507389118685,0.9906433441905893
v3,R4,0.19597616155772335,0.7608997134101493,-0.3539057714114448,6.551426095002655
C,R4,0.19969606131984774,0.7846710511142798,-0.35390577141144475,6.923416071215094
v3,R5_COVID,0.6219527077799107,1.024891712713493,-0.2997878904769665,56.56426405294659
C,R5_COVID,0.634056215903658,1.0379069786095263,-0.3240467529278681,57.77461486532132
v3,R6_AI,0.4084645139542238,1.3520484968661928,-0.1247254149568162,4.895514129685741
C,R6_AI,0.4900479362500072,1.5166945023619667,-0.12472541495681616,13.053856359264081
v3,STRICT,0.4175231759408744,1.120721305539238,-0.2997878904769665,23.554916039362507
C,STRICT,0.4464291437973291,1.1599198673619275,-0.32404675292786816,26.445512825007977
