date,equity,ret_m,regime,n_picks,year
2003-07-31,1.0379626356651819,0.03900163730248449,bull,5,2003
2003-08-31,1.0572591365225954,0.01961035745602313,recovery,5,2003
2003-09-30,1.0803830960312268,0.02289450450987511,bull,5,2003
2003-10-31,1.0730464942808426,-0.005796537504607046,recovery,5,2003
2003-11-30,1.1390454816025113,0.06256874548006928,recovery,5,2003
2003-12-31,1.1846466964873377,0.0410756621834087,recovery,5,2003
2004-01-31,1.2256875993853824,0.03567968199909269,recovery,5,2004
2004-02-29,1.2086186677649522,-0.012938943930020687,recovery,5,2004
2004-03-31,1.18636714013488,-0.01742813800335812,bull,5,2004
2004-04-30,1.1951608493802224,0.008420720798785175,bull,5,2004
2004-05-31,1.2361342015280774,0.03531802747960289,recovery,5,2004
2004-06-30,1.1806175055602952,-0.04395549981203477,recovery,5,2004
2004-07-31,1.2156565884213693,0.030709316228333394,bull,5,2004
2004-08-31,1.2629715167655529,0.03996125596603357,recovery,5,2004
2004-09-30,1.2824479925423777,0.016437589625344716,recovery,5,2004
2004-10-31,1.3324119399018877,0.03999982326254248,normal,7,2004
2004-11-30,1.370975688140086,0.029972784751024627,recovery,5,2004
2004-12-31,1.348745543966203,-0.01523006477423672,recovery,5,2004
2005-01-31,1.4072219037015428,0.04440051019073179,normal,7,2005
2005-02-28,1.3659959878951986,-0.02832428371833484,recovery,5,2005
2005-03-31,1.366677518553783,0.00150042623907016,normal,7,2005
2005-04-30,1.395974679807997,0.02245923627876386,normal,7,2005
2005-05-31,1.4142236064053724,0.014086620715592812,recovery,5,2005
2005-06-30,1.4538624433095264,0.02905774905686696,normal,7,2005
2005-07-31,1.4858404632168751,0.023018235220504925,recovery,5,2005
2005-08-31,1.5127365205483134,0.019120698894717836,bull,5,2005
2005-09-30,1.4845591380837189,-0.01764440596149082,recovery,5,2005
2005-10-31,1.5506611564344301,0.04557193444502601,bull,5,2005
2005-11-30,1.5787206471409831,0.019114292978612668,recovery,5,2005
2005-12-31,1.6203580733266403,0.027401558545128917,normal,7,2005
2006-01-31,1.589246074326804,-0.0182189125814584,recovery,5,2006
