year,ret_pct
2003,19.2
2004,15.2
2005,21.6
2006,21.2
2007,9.6
2008,-22.0
2009,34.5
2010,27.5
2011,-2.7
2012,13.7
2013,1.9
2014,11.1
2015,-12.4
2016,31.6
2017,28.8
2018,-17.7
2019,23.4
2020,28.4
2021,20.0
2022,-20.7
2023,16.6
2024,19.0
