name,top_k,target_vol,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale
lgbm K= 50 inv_vol + voltarget(18%) + regime_loose,50,0.18,0.5687,1.74,-0.1441,0.486,0.2843,179,23,0.04123,0.08206,0.836
lgbm K= 50 inv_vol + voltarget(15%) + regime_loose,50,0.15,0.5462,1.739,-0.1389,0.486,0.2744,179,23,0.03978,0.07921,0.813
lgbm K= 40 inv_vol + voltarget(18%) + regime_loose,40,0.18,0.6162,1.737,-0.1499,0.469,0.3054,179,23,0.04421,0.08817,0.836
lgbm K= 40 inv_vol + voltarget(15%) + regime_loose,40,0.15,0.5926,1.735,-0.1451,0.469,0.2956,179,23,0.04273,0.08533,0.813
lgbm K= 50 inv_vol + voltarget(12%) + regime_loose,50,0.12,0.5005,1.718,-0.1338,0.486,0.2574,179,23,0.03685,0.07431,0.76
lgbm K= 40 inv_vol + voltarget(12%) + regime_loose,40,0.12,0.544,1.709,-0.1402,0.469,0.2787,179,23,0.03969,0.08046,0.76
lgbm K= 50 inv_vol + voltarget(15%) + regime,50,0.15,0.5217,1.69,-0.1267,0.469,0.2724,179,30,0.03835,0.07863,0.788
lgbm K= 50 inv_vol + voltarget(18%) + regime,50,0.18,0.5412,1.69,-0.1324,0.469,0.2814,179,30,0.03963,0.08122,0.809
lgbm K= 50 inv_vol + voltarget(15%) + regime,50,0.15,0.5217,1.69,-0.1267,0.469,0.2724,179,30,0.03835,0.07863,0.788
lgbm K= 50 inv_vol + voltarget(18%) + regime,50,0.18,0.5412,1.69,-0.1324,0.469,0.2814,179,30,0.03963,0.08122,0.809
lgbm K= 50 inv_vol + voltarget(20%) + regime,50,0.2,0.5493,1.688,-0.1324,0.469,0.2856,179,30,0.04016,0.08244,0.815
lgbm K= 40 inv_vol + voltarget(18%) + regime,40,0.18,0.5854,1.686,-0.1408,0.453,0.3022,179,30,0.04247,0.08724,0.809
lgbm K= 60 inv_vol + voltarget(15%) + regime,60,0.15,0.4842,1.686,-0.1267,0.458,0.2555,179,30,0.0359,0.07377,0.788
lgbm K= 60 inv_vol + voltarget(18%) + regime,60,0.18,0.5019,1.686,-0.1271,0.458,0.264,179,30,0.03708,0.0762,0.809
lgbm K= 40 inv_vol + voltarget(15%) + regime,40,0.15,0.5651,1.684,-0.135,0.453,0.2933,179,30,0.04116,0.08467,0.788
lgbm K= 80 inv_vol + voltarget(15%) + regime,80,0.15,0.4486,1.68,-0.1445,0.453,0.2396,179,30,0.03354,0.06918,0.788
lgbm K= 50 inv_vol + regime [NO voltarget],50,999.0,0.5662,1.678,-0.1324,0.469,0.2953,179,30,0.04129,0.08524,1.0
lgbm K= 50 inv_vol + voltarget(25%) + regime,50,0.25,0.5636,1.677,-0.1324,0.469,0.2942,179,30,0.04112,0.08494,0.828
lgbm K= 40 inv_vol + regime [NO voltarget],40,999.0,0.611,1.677,-0.145,0.453,0.3159,179,30,0.04414,0.09119,1.0
lgbm K= 80 inv_vol + voltarget(18%) + regime,80,0.18,0.4654,1.676,-0.1445,0.453,0.2483,179,30,0.03469,0.07168,0.809
lgbm K= 60 inv_vol + regime [NO voltarget],60,999.0,0.5248,1.676,-0.1274,0.458,0.2765,179,30,0.03862,0.07983,1.0
lgbm K= 50 inv_vol + voltarget(12%) + regime,50,0.12,0.4804,1.671,-0.1242,0.469,0.2562,179,30,0.03567,0.07395,0.739
lgbm K= 50 inv_vol + voltarget(12%) + regime,50,0.12,0.4804,1.671,-0.1242,0.469,0.2562,179,30,0.03567,0.07395,0.739
lgbm K= 80 inv_vol + voltarget(12%) + regime,80,0.12,0.4123,1.67,-0.1445,0.453,0.2234,179,30,0.03109,0.06449,0.739
lgbm K= 60 inv_vol + voltarget(12%) + regime,60,0.12,0.4457,1.669,-0.1267,0.458,0.2398,179,30,0.03335,0.06924,0.739
lgbm K= 40 inv_vol + voltarget(12%) + regime,40,0.12,0.5214,1.661,-0.1323,0.453,0.2773,179,30,0.03838,0.08006,0.739
lgbm K= 30 inv_vol + voltarget(18%) + regime,30,0.18,0.6175,1.649,-0.1418,0.458,0.3247,179,30,0.04463,0.09373,0.809
lgbm K= 50 inv_vol + voltarget(10%) + regime,50,0.1,0.4396,1.647,-0.1065,0.469,0.2402,179,30,0.03297,0.06934,0.683
lgbm K=100 inv_vol + voltarget(15%) + regime,100,0.15,0.4074,1.644,-0.149,0.458,0.225,179,30,0.03082,0.06495,0.788
lgbm K= 30 inv_vol + voltarget(15%) + regime,30,0.15,0.5975,1.642,-0.1287,0.458,0.3171,179,30,0.04338,0.09154,0.788
