ts,close
2015-01-02,40.74406814575195
2015-01-05,40.08807373046875
2015-01-06,39.85226058959961
2015-01-07,40.67546463012695
2015-01-08,41.61444091796875
2015-01-09,41.15566635131836
2015-01-12,41.09992980957031
2015-01-13,40.735496520996094
2015-01-14,40.17811584472656
2015-01-15,39.79225158691406
2015-01-16,39.86941909790039
2015-01-20,40.1352424621582
2015-01-21,40.092369079589844
2015-01-22,41.09563446044922
2015-01-23,41.22854995727539
2015-01-26,41.31000900268555
2015-01-27,40.51682662963867
2015-01-28,40.006622314453125
2015-01-29,40.67546463012695
2015-01-30,39.552146911621094
2015-02-02,39.41065216064453
2015-02-03,40.02376174926758
2015-02-04,39.67648696899414
2015-02-05,40.01947784423828
2015-02-06,39.35491943359375
2015-02-09,39.089080810546875
2015-02-10,39.76652526855469
2015-02-11,39.14913558959961
2015-02-12,39.444950103759766
2015-02-13,39.46210861206055
2015-02-17,39.384925842285156
2015-02-18,40.13953399658203
2015-02-19,40.173828125
2015-02-20,40.7011833190918
2015-02-23,40.735496520996094
2015-02-24,40.9112663269043
2015-02-25,41.51152038574219
2015-02-26,41.705013275146484
2015-02-27,41.76092529296875
2015-03-02,42.461814880371094
2015-03-03,42.12641906738281
2015-03-04,41.932918548583984
2015-03-05,42.337120056152344
2015-03-06,41.670631408691406
2015-03-09,41.89420700073242
2015-03-10,41.49863052368164
2015-03-11,40.99552917480469
2015-03-12,41.72652816772461
2015-03-13,41.197628021240234
2015-03-16,41.46853256225586
2015-03-17,41.51152038574219
2015-03-18,41.92862319946289
2015-03-19,42.276912689208984
2015-03-20,43.85069274902344
2015-03-23,43.627098083496094
2015-03-24,43.27880096435547
2015-03-25,42.56501007080078
2015-03-26,42.711212158203125
2015-03-27,42.94770812988281
2015-03-30,43.38199996948242
2015-03-31,43.141212463378906
2015-04-01,42.80580520629883
2015-04-02,42.85309982299805
2015-04-06,42.88320541381836
2015-04-07,42.831607818603516
2015-04-08,43.36050033569336
2015-04-09,43.30889892578125
2015-04-10,42.98639678955078
2015-04-13,42.68540954589844
2015-04-14,42.79719543457031
2015-04-15,42.92619705200195
2015-04-16,42.956295013427734
2015-04-17,42.375823974609375
2015-04-20,42.9950065612793
2015-04-21,43.12400436401367
2015-04-22,43.06379699707031
2015-04-23,43.476593017578125
2015-04-24,43.40778732299805
2015-04-27,43.40350341796875
2015-04-28,42.9390983581543
2015-04-29,43.072410583496094
2015-04-30,42.50049591064453
2015-05-01,43.334693908691406
2015-05-04,43.356201171875
2015-05-05,43.179893493652344
2015-05-06,43.09389114379883
2015-05-07,43.622802734375
2015-05-08,44.048500061035156
2015-05-11,44.19898223876953
2015-05-12,44.01839065551758
2015-05-13,43.92808151245117
2015-05-14,44.478477478027344
2015-05-15,45.14066696166992
2015-05-18,45.04176330566406
2015-05-19,44.99446105957031
2015-05-20,44.9815788269043
