split,from,to,n_m,cagr,spy_cagr,edge_pp,sharpe,max_dd,n_cash
A1,2011-01-01,2018-12-31,81,0.19944371446137277,0.14468767169648244,5.475604276489032,0.8494346996399071,-0.4145245836233334,1
A2,2015-01-01,2021-12-31,69,0.4014137555354702,0.12427307397253418,27.714068156293603,1.2242335392001638,-0.35077261045433494,1
A3,2018-01-01,2024-12-31,72,0.2882457168034256,0.12577715614187612,16.246856066154947,0.8263801086607051,-0.350772610454335,4
R1_GFC,2008-01-01,2010-12-31,36,0.6345038266925997,0.00047259599882343295,63.40312306937763,1.0097061963081146,-0.5105846813861479,6
R2,2011-01-01,2013-12-31,31,0.1235021136329928,0.16863477591387,-4.51326622808772,0.5315615493905472,-0.4145245836233334,1
R3,2014-01-01,2016-12-31,32,0.3861045483366665,0.151022221078007,23.508232725865952,1.6440632124030896,-0.1584813044895146,0
R4,2017-01-01,2019-12-31,27,0.18975193860235606,0.12347017271517702,6.6281765887179045,0.8119803613646278,-0.35077261045433494,0
R5_COVID,2020-01-01,2022-12-31,30,0.41299064969141575,-0.006777183432021605,41.976783312343734,0.9727124748168383,-0.23424979578348015,4
R6_AI,2023-01-01,2024-12-31,24,0.3219228188339909,0.3595093726573664,-3.75865538233755,0.8927052367474358,-0.28017867396430574,0
STRICT,2021-01-01,2024-12-31,42,0.31006287729912274,0.14941890772001476,16.064396957910798,0.8863498623616678,-0.2801786739643056,3
