regime_gate,k,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash_months,wf_mean_cagr,wf_min_cagr,wf_n_beats_spy,wf_n_splits
tight,2,0.49206984788796704,0.1248673490229737,36.72024988649933,1.0404828594627589,-0.524989443700016,11,0.49390220416101877,0.18818646641949233,10,10
strict,2,0.10084236739912611,0.1248673490229737,-2.4024981623847586,0.4629176402827422,-0.5937053262850378,39,0.11092720949828361,-0.143049043827559,5,10
ddgate,2,0.37326082034375463,0.1248673490229737,24.839347132078093,0.8608579037248667,-0.7898015095378796,0,0.3191776789616866,0.0616052448437685,8,10
