ticker,n_months_picked
NVDA,10
CSX,3
GNW,3
CCL,2
KEY,2
NFLX,2
F,2
TGNA,2
CCU,1
CAT,1
COG,1
AIV,1
AMZN,1
CAG,1
AMD,1
ALB,1
EP,1
DXC,1
CZR,1
CPWR,1
CMG,1
FTNT,1
FTI,1
FMCC,1
HAL,1
HBAN,1
HRL,1
HPE,1
HWM,1
GPS,1
