split,n,sharpe,cagr,mdd,corr_to_v5
A1,2119,-1.2562402297263437,-0.05081964693400998,-0.3622043211812437,-0.02883439256196505
A2,1832,-1.3483492954669134,-0.06204258286990405,-0.378240178448105,-0.11129915769969322
A3,1808,-1.1714340733286164,-0.05846528885477742,-0.38435481110854297,-0.1520523834124238
R1_GFC,776,0.035194317239202064,0.00033060752075386723,-0.06878362762194352,0.08504219007009078
R2,774,-1.599658446968168,-0.06747487828594134,-0.19820647920153261,0.20498138588749654
R3,830,-0.7826505230406158,-0.02980035082870558,-0.13160425710681584,-0.24342248000260297
R4,773,-1.2833873205081043,-0.05348892154236373,-0.16835182325668496,0.03480794231197179
R5_COVID,776,-1.5607730985094046,-0.08600602832934556,-0.24248499154008063,-0.048377330185106905
R6_AI,516,-1.1069083516811289,-0.05111409783406695,-0.13421539039865887,-0.32587501908113425
STRICT,1033,-1.484792248938898,-0.07027700333265219,-0.29564541640516095,-0.18519509580703766
