name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,param,value
K=1,0.40144263342152864,0.1163,28.514263342152862,0.7490728840108191,-0.6501517174255421,0,0.3609481253994812,0.2666367103471555,-0.08054546792364725,1.4644730595444408,22.68992489532682,9,8,10,K,1.0
K=2,0.49206984788796704,0.1163,37.5769847887967,1.0404828594627589,-0.524989443700016,0,0.49390220416101877,0.37919170435136496,0.18818646641949233,1.3441877288303243,35.98533277148057,10,10,10,K,2.0
K=3,0.3292183516135059,0.1163,21.291835161350587,0.917911027302647,-0.5125394081258634,0,0.32679419598894127,0.3159928480665568,0.1235021136329928,0.6345038266925997,19.274531954272835,10,8,10,K,3.0
K=4,0.290962894775195,0.1163,17.4662894775195,0.8786575268704794,-0.5164402995969483,0,0.2982199763549649,0.27133033758759517,0.06957836446601129,0.44189955953471993,16.417109990875197,10,8,10,K,4.0
K=5,0.2386677357057212,0.1163,12.236773570572119,0.8108742063646203,-0.48808416874319677,0,0.24458658851188142,0.22497743181214536,0.09051602389257529,0.4340091424837227,11.053771206566845,10,7,10,K,5.0
hold=3,0.2435295991055526,0.1163,12.722959910555259,0.6423075766794645,-0.7440299493592772,0,0.23357450396981974,0.2061723440405745,-0.12462643956738773,0.8333055904528848,9.952562752360677,8,6,10,hold,3.0
hold=6,0.49206984788796704,0.1163,37.5769847887967,1.0404828594627589,-0.524989443700016,0,0.49390220416101877,0.37919170435136496,0.18818646641949233,1.3441877288303243,35.98533277148057,10,10,10,hold,6.0
hold=9,0.3518141336914191,0.1163,23.551413369141912,0.8489868766870923,-0.7595565818834529,0,0.41880164334642667,0.4158975606591424,0.17335642058277534,0.609449803866914,28.475276690021367,10,10,10,hold,9.0
hold=12,0.3598123916945122,0.1163,24.351239169451215,0.84251858391949,-0.6334855653186953,0,0.45609727353817375,0.4363177380414892,0.1700759031352339,0.676620931976877,32.20483970919607,10,10,10,hold,12.0
cap=0.34,0.47182707483676856,0.1163,35.552707483676855,1.0199405667349366,-0.5261019326731423,0,0.4718463815285343,0.3613518032629742,0.1714555374248654,1.280357161047117,33.77975050823214,10,10,10,cap,0.34
cap=0.4,0.49206984788796704,0.1163,37.5769847887967,1.0404828594627589,-0.524989443700016,0,0.49390220416101877,0.37919170435136496,0.18818646641949233,1.3441877288303243,35.98533277148057,10,10,10,cap,0.4
cap=0.5,0.4899237468162283,0.1163,37.36237468162283,1.011699814808684,-0.5079077782681941,0,0.4788692869789254,0.3581124483124307,0.17372051871250904,1.445222106631582,34.482041053271246,10,10,10,cap,0.5
cap=1.0,0.4583696348060464,0.1163,34.20696348060464,1.0333889222749963,-0.549736260093121,0,0.48361965772193327,0.39819593010278465,0.11547992099556526,1.2234716844293443,34.95707812757202,10,9,10,cap,1.0
chr_q=0.3,0.4887132072903353,0.1163,37.241320729033525,1.0384231271398288,-0.5249894437000161,0,0.4920188534034069,0.38728987681351834,0.12748225175647976,1.3441877288303243,35.7969976957194,10,10,10,chr_q,0.3
chr_q=0.45,0.49206984788796704,0.1163,37.5769847887967,1.0404828594627589,-0.524989443700016,0,0.49390220416101877,0.37919170435136496,0.18818646641949233,1.3441877288303243,35.98533277148057,10,10,10,chr_q,0.45
chr_q=0.6,0.48353030288760124,0.1163,36.72303028876012,1.0245520943825883,-0.500247194120982,0,0.49463748522634354,0.37194725807473616,0.1447966582813327,1.3441877288303243,36.05886087801305,10,9,10,chr_q,0.6
