date,ret_m,regime
2003-03-31,0.0,normal
2003-04-30,0.0,recovery
2003-05-30,0.0,recovery
2003-06-30,0.0,recovery
2003-07-31,0.0,recovery
2003-08-29,0.0,recovery
2003-09-30,0.0,bull
2003-10-31,0.0,recovery
2003-11-28,0.0,recovery
2003-12-31,0.0,recovery
2004-01-30,0.0,bull
2004-02-27,0.0,bull
2004-03-31,0.0,bull
2004-04-30,0.0,bull
2004-05-31,0.0,bull
2004-06-30,0.0,bull
2004-07-30,0.0,normal
2004-08-31,0.0,normal
2004-09-30,0.0,normal
2004-10-29,0.0,normal
2004-11-30,0.0,normal
2004-12-31,0.0,normal
2005-01-31,0.0,normal
2005-02-28,0.0,normal
2005-03-31,0.0,normal
2005-04-29,0.0,normal
2005-05-31,0.0,normal
2005-06-30,0.0,normal
2005-07-29,0.0,bull
2005-08-31,0.0,bull
2005-09-30,0.0,bull
2005-10-31,0.0,normal
2005-11-30,0.0,normal
2005-12-30,0.0,normal
2006-01-31,0.0,normal
2006-02-28,0.0,normal
2006-03-31,0.0,normal
2006-04-28,0.0,bull
2006-05-31,0.0,bull
2006-06-30,0.0,normal
2006-07-31,0.0,normal
2006-08-31,0.0,normal
2006-09-29,0.0,bull
2006-10-31,0.0,bull
2006-11-30,0.0,bull
2006-12-29,0.0,bull
2007-01-31,0.0,bull
2007-02-28,0.0,bull
2007-03-30,0.0,normal
2007-04-30,0.0,normal
2007-05-31,0.0,bull
2007-06-29,0.0,bull
2007-07-31,0.0,bull
2007-08-31,0.0,bull
2007-09-28,0.0,bull
2007-10-31,0.0,bull
2007-11-30,0.0,normal
2007-12-31,0.0,normal
2008-01-31,0.0,normal
2008-02-29,0.0,normal
2008-03-31,0.0,normal
2008-04-30,0.0,normal
2008-05-30,0.0,normal
2008-06-30,0.0,normal
2008-07-31,0.0,normal
2008-08-29,0.0,normal
2008-09-30,0.0,crash
2008-10-31,0.0,crash
2008-11-28,0.0,crash
2008-12-31,0.0,normal
2009-01-30,0.0,crash
2009-02-27,0.0,crash
2009-03-31,0.0,normal
2009-04-30,0.0,normal
2009-05-29,0.0,recovery
2009-06-30,0.14734366248253272,normal
2009-07-31,0.021716397136753773,recovery
2009-08-31,0.033675608520274514,recovery
2009-09-30,0.02222616721228521,recovery
2009-10-30,0.0028002497972229867,recovery
2009-11-30,0.06602130980651344,recovery
2009-12-31,-0.11624587998717978,recovery
2010-01-29,0.0818005970419835,bull
2010-02-26,0.02020182140163168,recovery
2010-03-31,0.00815675714341435,bull
2010-04-30,-0.06626894253377752,bull
2010-05-31,0.0,crash
