date,regime,n_active_tranches,nav_invested,cash_pool,nav_total,cum_deposits,new_capital_invested
2003-01-31,normal,0,0.0,1.0,1.0,1.0,False
2003-02-28,normal,0,0.0,2.0,2.0,2.0,False
2003-03-31,normal,1,2.997,0.0,2.997,3.0,True
2003-04-30,recovery,2,4.495499920606616,0.0,4.495499920606616,4.0,True
2003-05-30,recovery,2,4.495499920606616,1.0,5.495499920606616,5.0,False
2003-06-30,recovery,3,6.0050999558925655,0.0,6.0050999558925655,6.0,True
2003-07-31,recovery,4,8.537804759579704,0.0,8.537804759579704,7.0,True
2003-08-29,recovery,4,8.537804759579704,1.0,9.537804759579704,8.0,False
2003-09-30,bull,4,9.500362950132732,0.0,9.500362950132732,9.0,True
2003-10-31,recovery,4,11.954435261134861,0.0,11.954435261134861,10.0,True
2003-11-28,recovery,4,11.954435261134861,1.0,12.954435261134861,11.0,False
2003-12-31,recovery,4,14.886136963701297,0.0,14.886136963701297,12.0,True
2004-01-30,recovery,3,13.596734035185765,2.2881135255870175,15.884847560772783,13.0,False
2004-02-27,recovery,3,13.70561209049933,3.2881135255870175,16.993725616086348,14.0,False
2004-03-31,bull,3,18.422068779585526,0.0,18.422068779585526,15.0,True
2004-04-30,bull,3,19.31369943747527,0.0,19.31369943747527,16.0,True
2004-05-31,recovery,4,19.793267294793992,0.0,19.793267294793992,17.0,True
2004-06-30,recovery,4,21.66005300714582,0.0,21.66005300714582,18.0,True
2004-07-30,normal,4,21.66005300714582,1.0,22.66005300714582,19.0,False
2004-08-31,normal,5,23.10440195670733,0.0,23.10440195670733,20.0,True
2004-09-30,normal,5,25.217783974493422,0.0,25.217783974493422,21.0,True
2004-10-29,normal,4,22.043267059749375,4.171342397829305,26.214609457578682,22.0,False
2004-11-30,recovery,4,36.11553215584574,0.0,36.11553215584574,23.0,True
2004-12-31,recovery,4,36.36561153674666,0.0,36.36561153674666,24.0,True
2005-01-31,normal,5,39.96551649960825,0.0,39.96551649960825,25.0,True
2005-02-28,recovery,5,45.25090688348011,0.0,45.25090688348011,26.0,True
2005-03-31,normal,5,45.0194837550856,0.0,45.0194837550856,27.0,True
2005-04-29,normal,5,45.0194837550856,1.0,46.0194837550856,28.0,False
2005-05-31,recovery,5,47.2234743564295,0.0,47.2234743564295,29.0,True
2005-06-30,normal,5,48.174401594913576,0.0,48.174401594913576,30.0,True
2005-07-29,recovery,4,47.1272624437492,2.0460920120132053,49.17335445576241,31.0,False
2005-08-31,bull,4,59.96104809917292,0.0,59.96104809917292,32.0,True
2005-09-30,recovery,4,62.29502282669549,0.0,62.29502282669549,33.0,True
2005-10-31,normal,5,61.10615457919311,0.0,61.10615457919311,34.0,True
2005-11-30,recovery,5,61.475821516519495,0.0,61.475821516519495,35.0,True
2005-12-30,normal,4,47.97714757819088,14.485175264390282,62.46232284258116,36.0,False
2006-01-31,recovery,5,65.33727673025068,0.0,65.33727673025068,37.0,True
2006-02-28,recovery,5,71.6360550992434,0.0,71.6360550992434,38.0,True
2006-03-31,recovery,5,74.1502173249336,0.0,74.1502173249336,39.0,True
2006-04-28,recovery,4,73.22584352431059,1.9234494268223736,75.14929295113296,40.0,False
2006-05-31,bull,4,69.43938349478702,0.0,69.43938349478702,41.0,True
2006-06-30,normal,5,63.94749403873748,0.0,63.94749403873748,42.0,True
2006-07-31,recovery,5,66.01988891494696,0.0,66.01988891494696,43.0,True
2006-08-31,recovery,5,75.95816092094047,0.0,75.95816092094047,44.0,True
2006-09-29,recovery,4,47.805994038467034,29.124014715590963,76.930008754058,45.0,False
2006-10-31,recovery,5,82.25164848363605,0.0,82.25164848363605,46.0,True
2006-11-30,recovery,5,87.27843526550573,0.0,87.27843526550573,47.0,True
2006-12-29,recovery,4,85.79246978839967,2.4844795116289493,88.27694930002862,48.0,False
2007-01-31,recovery,4,99.05752025410371,0.0,99.05752025410371,49.0,True
2007-02-28,bull,4,95.47783758224676,0.0,95.47783758224676,50.0,True
2007-03-30,recovery,4,95.47783758224676,1.0,96.47783758224676,51.0,False
2007-04-30,recovery,4,99.47827585518841,0.0,99.47827585518841,52.0,True
2007-05-31,recovery,4,103.30082690921647,0.0,103.30082690921647,53.0,True
2007-06-29,bull,4,103.30082690921645,1.0,104.30082690921645,54.0,False
2007-07-31,bull,4,125.6861892133247,0.0,125.6861892133247,55.0,True
2007-08-31,recovery,4,135.09447616089273,0.0,135.09447616089273,56.0,True
2007-09-28,recovery,4,135.09447616089273,1.0,136.09447616089273,57.0,False
2007-10-31,recovery,4,144.50047536270378,0.0,144.50047536270378,58.0,True
2007-11-30,normal,4,135.92233524531903,0.0,135.92233524531903,59.0,True
2007-12-31,normal,5,142.11303160577756,0.0,142.11303160577756,60.0,True
2008-01-31,normal,5,117.17798434320693,0.0,117.17798434320693,61.0,True
2008-02-29,normal,5,103.01932409504244,0.0,103.01932409504244,62.0,True
2008-03-31,normal,6,100.50496326947889,0.0,100.50496326947889,63.0,True
2008-04-30,normal,6,106.79984749538312,0.0,106.79984749538312,64.0,True
2008-05-30,normal,5,85.2061602804834,22.57209352768482,107.77825380816822,65.0,False
2008-06-30,normal,5,67.38262196811124,0.0,67.38262196811124,66.0,True
2008-07-31,normal,5,84.12121227125489,0.0,84.12121227125489,67.0,True
2008-08-29,normal,4,75.32229930205318,9.790114056232515,85.11241335828569,68.0,False
2008-09-30,crash,0,0.0,124.42440471827383,124.42440471827383,69.0,False
2008-10-31,crash,0,0.0,125.42440471827383,125.42440471827383,70.0,False
2008-11-28,crash,0,0.0,126.42440471827383,126.42440471827383,71.0,False
2008-12-31,normal,1,127.29698031355557,0.0,127.29698031355557,72.0,True
2009-01-30,crash,0,0.0,128.169683333242,128.169683333242,73.0,False
2009-02-27,crash,0,0.0,129.169683333242,129.169683333242,74.0,False
2009-03-31,normal,1,130.03951364990877,0.0,130.03951364990877,75.0,True
2009-04-30,normal,2,204.27760588111406,0.0,204.27760588111406,76.0,True
2009-05-29,recovery,2,204.27760588111406,1.0,205.27760588111406,77.0,False
2009-06-30,normal,3,322.80445920033645,0.0,322.80445920033645,78.0,True
2009-07-31,recovery,4,445.83138855700514,0.0,445.83138855700514,79.0,True
2009-08-31,recovery,5,608.4508633730885,0.0,608.4508633730885,80.0,True
2009-09-30,recovery,5,788.6052155886712,0.0,788.6052155886712,81.0,True
2009-10-30,recovery,4,784.6376716246184,4.963576420088887,789.6012480447073,82.0,False
2009-11-30,recovery,5,1089.4467192830011,0.0,1089.4467192830011,83.0,True
2009-12-31,recovery,5,1108.7051631294037,0.0,1108.7051631294037,84.0,True
2010-01-29,bull,4,1106.7438708582388,2.959330978893699,1109.7032018371324,85.0,False
2010-02-26,recovery,3,2003.0941799173727,4.903992535640428,2007.998172453013,86.0,False
2010-03-31,recovery,3,2260.918528877208,0.0,2260.918528877208,87.0,True
2010-04-30,recovery,4,2133.5123096896664,0.0,2133.5123096896664,88.0,True
2010-05-31,crash,0,0.0,1924.5689539100158,1924.5689539100158,89.0,False
2010-06-30,normal,1,1923.6433849561058,0.0,1923.6433849561058,90.0,True
2010-07-30,normal,1,1923.6433849561058,1.0,1924.6433849561058,91.0,False
2010-08-31,normal,2,1735.028590012259,0.0,1735.028590012259,92.0,True
2010-09-30,recovery,3,1997.349883170436,0.0,1997.349883170436,93.0,True
2010-10-29,recovery,3,1997.349883170436,1.0,1998.349883170436,94.0,False
2010-11-30,bull,4,2329.6660708285617,0.0,2329.6660708285617,95.0,True
2010-12-31,recovery,4,2567.7314216561763,0.0,2567.7314216561763,96.0,True
2011-01-31,recovery,5,3792.655591004776,0.0,3792.655591004776,97.0,True
2011-02-28,recovery,5,4548.884501174915,0.0,4548.884501174915,98.0,True
2011-03-31,bull,5,4136.692565208097,0.0,4136.692565208097,99.0,True
2011-04-29,recovery,5,4135.870942219401,1.0,4136.870942219401,100.0,False
