date,regime,equity,ret_m,cash,n_picks,picks
2003-01-31,normal,0.999,0.0,False,0,
2003-02-28,normal,0.999,0.0,False,0,
2003-03-31,normal,0.999,0.0,False,0,
2003-04-30,recovery,0.999,0.0,False,0,
2003-05-30,recovery,0.999,0.0,False,0,
2003-06-30,recovery,0.999,0.0,False,0,
2003-07-31,recovery,0.999,0.0,False,0,
2003-08-29,recovery,0.999,0.0,False,0,
2003-09-30,bull,0.999,0.0,False,0,
2003-10-31,recovery,0.999,0.0,False,0,
2003-11-28,recovery,0.999,0.0,False,0,
2003-12-31,recovery,0.999,0.0,False,0,
2004-01-30,recovery,0.999,0.0,False,0,
2004-02-27,recovery,0.999,0.0,False,0,
2004-03-31,bull,0.999,0.0,False,0,
2004-04-30,bull,0.999,0.0,False,0,
2004-05-31,recovery,0.999,0.0,False,0,
2004-06-30,recovery,0.999,0.0,False,0,
2004-07-30,normal,0.999,0.0,False,0,
2004-08-31,normal,0.999,0.0,False,0,
2004-09-30,normal,0.999,0.0,False,0,
2004-10-29,normal,0.999,0.0,False,0,
2004-11-30,recovery,0.999,0.0,False,0,
2004-12-31,recovery,0.999,0.0,False,0,
2005-01-31,normal,0.999,0.0,False,0,
2005-02-28,recovery,0.998001,0.0,False,2,"CSX,NVDA"
2005-03-31,normal,0.945401243609655,-0.05270511391305721,False,2,"CSX,NVDA"
2005-04-29,normal,1.056448081696755,0.11746000847545944,False,2,"CSX,NVDA"
2005-05-31,recovery,1.0669878964714568,0.009976651912485802,False,2,"CSX,NVDA"
2005-06-30,normal,1.1156380844600855,0.0455958199240269,False,2,"CSX,NVDA"
2005-07-29,recovery,1.153106448439146,0.033584694266863044,False,2,"CSX,NVDA"
2005-08-31,bull,1.2473888725687148,0.08176385125344683,False,2,"CSX,NVDA"
2005-09-30,recovery,1.2247478913851442,-0.017167867847193995,False,2,"CCU,PEG"
2005-10-31,normal,1.253936897783728,0.023832665158191935,False,2,"CCU,PEG"
2005-11-30,recovery,1.2789654036788745,0.019959940519641062,False,2,"CCU,PEG"
2005-12-30,normal,1.3204236439531793,0.03241545092232567,False,2,"CCU,PEG"
2006-01-31,recovery,1.3749071524445884,0.04126214245020077,False,2,"CCU,PEG"
2006-02-28,recovery,1.2690182244962354,-0.07701532991524718,False,2,"CCU,PEG"
2006-03-31,recovery,1.2659616440506407,-0.0024086182425063773,False,2,"CCU,PEG"
2006-04-28,recovery,1.2391688551105415,-0.02018416576505866,False,2,"NVDA,EP"
2006-05-31,bull,1.1443003734555008,-0.0765581553020697,False,2,"NVDA,EP"
2006-06-30,normal,1.387110378547011,0.21219079423900272,False,2,"NVDA,EP"
2006-07-31,recovery,1.6491207548667535,0.1888893489458256,False,2,"NVDA,EP"
2006-08-31,recovery,1.6390501878486767,-0.006106628024877736,False,2,"NVDA,EP"
2006-09-29,recovery,1.4184279718161052,-0.134603697719682,False,2,"NVDA,EP"
2006-10-31,recovery,1.6194776924036425,0.1417412266130935,False,2,"NVDA,EP"
2006-11-30,recovery,1.8340968249897385,0.1336573306067458,False,2,"GPS,T"
2006-12-29,recovery,1.8803503204970708,0.02521867704971964,False,2,"GPS,T"
2007-01-31,recovery,1.8605941526672038,-0.010506642094567031,False,2,"GPS,T"
2007-02-28,bull,1.8310926435232484,-0.015855961442028887,False,2,"GPS,T"
2007-03-30,recovery,1.8691826662189956,0.02080179986003189,False,2,"GPS,T"
2007-04-30,recovery,1.9621000929505796,0.049710190668276644,False,2,"GPS,T"
2007-05-31,recovery,1.9966206948400815,0.017593700756412534,False,2,"GPS,T"
2007-06-29,bull,1.8538635866414077,-0.07056993311592008,False,2,"NVDA,AMZN"
2007-07-31,bull,1.998059936454978,0.07778153195986058,False,2,"NVDA,AMZN"
2007-08-31,recovery,2.2054659363349973,0.10380369282014912,False,2,"NVDA,AMZN"
2007-09-28,recovery,2.136181392686398,-0.03141492348947131,False,2,"NVDA,AMZN"
2007-10-31,recovery,2.0105842812023536,-0.05879515284331605,False,2,"NVDA,AMZN"
2007-11-30,normal,2.1239116087913907,0.05636537032969651,False,2,"NVDA,AMZN"
2007-12-31,normal,1.6336666487246494,-0.23082173384122828,False,2,"NVDA,AMZN"
2008-01-31,normal,1.3934486928757812,-0.14618839926670324,False,2,"MBI,MTG"
2008-02-29,normal,1.151811012365586,-0.17340981533486283,False,2,"MBI,MTG"
2008-03-31,normal,1.202767500496961,0.044240320316716375,False,2,"MBI,MTG"
2008-04-30,normal,0.9584060437181735,-0.20316599565404103,False,2,"MBI,MTG"
2008-05-30,normal,0.5458440376700324,-0.43046682431967015,False,2,"MBI,MTG"
2008-06-30,normal,0.65453816500026,0.19913037393280852,False,2,"MBI,MTG"
2008-07-31,normal,1.3265593246800742,1.0267104282292647,False,2,"MBI,MTG"
2008-08-29,normal,1.0400239739592003,-0.2152141109488097,False,2,"FNMA,FMCC"
2008-09-30,crash,0.6286799954213954,-0.3949088477927633,True,0,
2008-10-31,crash,0.6286799954213954,0.0,True,0,
2008-11-28,crash,0.6286799954213954,0.0,True,0,
2008-12-31,normal,0.628051315425974,0.0,False,2,"GR,GNW"
2009-01-30,crash,0.5034710945363307,-0.19755749693141406,True,0,
2009-02-27,crash,0.5034710945363307,0.0,True,0,
2009-03-31,normal,0.5029676234417944,0.0,False,2,"TGNA,GNW"
2009-04-30,normal,0.8728293702250383,0.7353589566109437,False,2,"TGNA,GNW"
2009-05-29,recovery,0.8075783260596846,-0.07475807573767859,False,2,"TGNA,GNW"
2009-06-30,normal,1.268963899181722,0.57131990573994,False,2,"TGNA,GNW"
2009-07-31,recovery,1.7165846372756495,0.35274505317493354,False,2,"TGNA,GNW"
2009-08-31,recovery,2.275829455116842,0.3257892478455104,False,2,"TGNA,GNW"
2009-09-30,recovery,1.8808921754380892,-0.17353553395259863,False,2,"TGNA,GNW"
2009-10-30,recovery,1.897663982897019,0.009926869412928597,False,2,"HBAN,AIV"
2009-11-30,recovery,2.0338576634824532,0.07176912341325992,False,2,"HBAN,AIV"
2009-12-31,recovery,2.315701596608058,0.13857603616322883,False,2,"HBAN,AIV"
2010-01-29,bull,2.4207936241272465,0.04538237036806603,False,2,"HBAN,AIV"
2010-02-26,recovery,2.6939949337918594,0.11285609270517982,False,2,"HBAN,AIV"
2010-03-31,recovery,3.329033814010095,0.2357238583683614,False,2,"HBAN,AIV"
2010-04-30,recovery,3.0565194937168885,-0.08185988353327667,False,2,"HBAN,AIV"
2010-05-31,crash,2.8088135713890727,-0.08012194839085612,True,0,
2010-06-30,normal,2.8060047578176834,0.0,False,2,"NVDA,COG"
2010-07-30,normal,2.6837067714213365,-0.04358438311824597,False,2,"NVDA,COG"
2010-08-31,normal,3.0853836560577075,0.1496724191010019,False,2,"NVDA,COG"
2010-09-30,recovery,3.0518351171383005,-0.010873376752851821,False,2,"NVDA,COG"
