split,from,to,n_months,cagr,spy_cagr,edge_pp,sharpe,max_dd,n_cash_months
A1,2011-01-01,2018-12-31,96,0.027434537592019526,0.14080900583561906,-11.337446824359954,0.23513456377254371,-0.5979955497958026,2
A2,2015-01-01,2021-12-31,84,0.15415910532680455,0.14712482626251333,0.7034279064291216,0.619986582125822,-0.4311406675752205,2
A3,2018-01-01,2024-12-31,84,0.15872902593390692,0.14751627095452036,1.1212754979386563,0.59728732122432,-0.43114066757522046,5
R1_GFC,2008-01-01,2010-12-31,36,1.1983701979430847,0.00047259599882343295,119.78976019442614,1.7305924458425883,-0.28737813881422636,6
R2,2011-01-01,2013-12-31,36,-0.1350394731930431,0.15626222022427316,-29.130169341731627,-0.46329978003608957,-0.5979955497958026,1
R3,2014-01-01,2016-12-31,36,0.18448989797187654,0.16016169805583935,2.4328199916037185,1.0227117896292908,-0.16156889103156843,0
R4,2017-01-01,2019-12-31,36,0.13360503862242723,0.1304619006076968,0.3143138014730429,0.7576806333797691,-0.1803910715308293,1
R5_COVID,2020-01-01,2022-12-31,36,0.043139099719116336,0.05631006725044485,-1.3170967531328515,0.2893044762540856,-0.40158464269335836,4
R6_AI,2023-01-01,2024-12-31,24,0.4349435685738412,0.3595093726573664,7.543419591647482,1.5792901314191308,-0.10565442672424007,0
STRICT,2021-01-01,2024-12-31,48,0.2629802882096468,0.18197401554724935,8.100627266239746,0.9507097284032892,-0.4015846426933581,3
