date,equity,ret_m,regime,n_picks,n_eligible,picks
2003-03-31,1.1023944628648772,0.10349796082570298,normal,15,308,"CBE,CCU,UVN,BOL,CTB,RRD,ORCL,ATI,TLAB,JWN,HPQ,AAPL,WOR,TUP,X"
2003-04-30,1.0754476121426617,-0.02346739525405944,recovery,7,308,"UVN,BOL,CCU,BLL,JWN,TUP,BF.B"
2003-05-30,1.2775696639959357,0.18913138870664076,recovery,7,308,"UVN,BOL,CCU,BLL,CBE,BF.B,CVG"
2003-06-30,1.3051794706648903,0.02263382846390763,recovery,7,309,"CCU,BF.B,BLL,OXY,SLM,CVG,NEE"
2003-07-31,1.325349298180015,0.01647015140249489,recovery,7,310,"CVG,BF.B,CCU,PGR,MRO,NVDA,XEL"
2003-08-29,1.3627581752510491,0.029254928811466043,recovery,7,310,"CCU,CVG,XEL,BF.B,HAS,SLM,PEG"
2003-09-30,1.5075033901682684,0.10732221605850727,bull,7,312,"TUP,CCU,WMB,NVDA,CMI,HAS,SRE"
2003-10-31,1.5665995768257992,0.04024160396437286,recovery,7,313,"PEG,OXY,CCU,MRO,RRD,AET,EIX"
2003-11-28,1.6030141856346494,0.024268631356535245,recovery,7,315,"HAS,EIX,PEG,AAPL,CCU,XEL,CVG"
2003-12-31,1.6881787399835124,0.05418194282732981,recovery,7,315,"CCU,CVG,HAS,BF.B,WMB,SPG,GLW"
2004-01-30,1.7312047770182248,0.02651317285862897,recovery,7,315,"WMB,CSX,MRO,TUP,XEL,BF.B,CVG"
2004-02-27,1.7355586614141585,0.003518463231020373,recovery,7,316,"WMB,XEL,CNP,CMCSA,CSX,BEN,CVG"
2004-03-31,1.7272041922740753,-0.0038175235225326024,bull,7,315,"ASH,XEL,CMCSA,CVG,MO,BF.B,AAPL"
2004-04-30,1.8374776343916217,0.06490996233704087,bull,7,318,"CMVT,GLW,SANM,AMD,TLAB,CMS,NVDA"
2004-05-31,1.9162791419067606,0.04392962577806322,recovery,7,258,"WMB,OXY,AFL,COP,PTC,ADM,ASH"
2004-06-30,1.8230754941164742,-0.047685509588572136,recovery,7,319,"WMB,TJX,BOL,COP,IPG,BF.B,MKC"
2004-07-30,1.7674418161971,-0.029545933268251418,normal,15,320,"BOL,BF.B,CCU,ESRX,CAG,CMI,AFL,GT,CBE,ASH,SBUX,WMB,AAPL,CVX,PEP"
2004-08-31,1.7291895379784161,-0.02066340030294621,normal,15,320,"WMB,SBUX,MKC,CBE,CMS,WOR,VFC,T,CMI,NUE,VLO,CNP,COP,NI,CAG"
2004-09-30,1.8424378333618712,0.06655868253371834,normal,15,321,"EP,JWN,WMB,GT,AES,AAPL,SBUX,MRK,T,BF.B,CVG,CAG,SNA,VFC,DHR"
2004-10-29,1.9969597947007938,0.08495316219531544,normal,15,321,"AAPL,SRE,WMB,T,WOR,CVX,MRO,SHW,EMN,NI,XEL,XOM,VFC,NKE,AFL"
2004-11-30,2.0069234471211566,0.005995406032527381,recovery,7,322,"SRE,PPL,FE,VFC,MAS,LB,DHR"
