,monthly_net
2016-08-31,-0.02188174342885285
2016-09-30,0.006175237382198384
2016-10-31,0.0013704172676436421
2016-11-30,-0.0049322517646471775
2016-12-31,-0.010902157883458385
2017-01-31,0.0027208875363613494
2017-02-28,-0.003899300739621636
2017-03-31,-0.017309452117344915
2017-04-30,-0.01022312836526984
2017-05-31,-0.015878866521261248
2017-06-30,0.010167633605250082
2017-07-31,-0.009203840764244742
2017-08-31,-0.019006837719261593
2017-09-30,-0.02943026215476552
2017-10-31,0.0017717602986606629
2017-11-30,-0.026209915289680863
2017-12-31,-0.002844067156249408
2018-01-31,0.01597006951322122
2018-02-28,0.03371964624075252
2018-03-31,-0.0054073421141824785
2018-04-30,-0.014972344823444117
2018-05-31,0.010112808498777603
2018-06-30,-0.01635093088493167
2018-07-31,-0.004725701450115638
2018-08-31,-0.005962084151865055
2018-09-30,-0.008471063195898187
2018-10-31,0.004981539307327809
2018-11-30,0.011638825038080114
2018-12-31,-0.02272613159874015
2019-01-31,-0.01605641066872243
2019-02-28,0.01187927991952864
2019-03-31,-0.008512468074097113
2019-04-30,-0.0057268228747831
2019-05-31,-0.0010740399855664329
2019-06-30,0.015511484519890706
2019-07-31,-0.006971734207578573
2019-08-31,-0.011969642187673712
2019-09-30,0.013826127670435895
2019-10-31,-0.0037261302589243206
2019-11-30,-0.019698913352630854
2019-12-31,-0.010921289380251498
2020-01-31,-0.015948456277169232
2020-02-29,-0.021134497279702513
2020-03-31,-0.03989779424553319
2020-04-30,0.017386473328903085
2020-05-31,0.003730792337125699
2020-06-30,-0.0093035287948382
2020-07-31,-0.016482614899042458
2020-08-31,-0.0006601364176803681
2020-09-30,0.002163073550525363
2020-10-31,-0.013290087222704083
2020-11-30,0.02209969839951076
2020-12-31,-0.012402752552914675
2021-01-31,0.018436775442279396
2021-02-28,0.020760049619710008
2021-03-31,0.004261740566147365
2021-04-30,-0.0020834321247337195
2021-05-31,-0.005127042772410606
2021-06-30,-0.027494430175798334
2021-07-31,-0.02509255191388504
2021-08-31,-0.03584343034227733
2021-09-30,-0.017148409328140657
2021-10-31,-0.005456714584735622
2021-11-30,-0.012009165516820297
2021-12-31,-0.009284431854684527
2022-01-31,0.012353132370897635
2022-02-28,-0.010400559220116512
2022-03-31,0.01097259990056143
2022-04-30,-0.0034180984355849375
2022-05-31,-0.006137287158579974
2022-06-30,-0.010660725161792395
2022-07-31,-0.014730520088400811
2022-08-31,-0.019961129824956347
2022-09-30,-0.007968450852518738
2022-10-31,-0.02841566469128287
2022-11-30,0.004366988223191592
2022-12-31,-0.017943500647047528
2023-01-31,0.01826834238975983
2023-02-28,0.009224449125956768
2023-03-31,0.006114828819519191
2023-04-30,-0.007643621398503053
2023-05-31,-0.014882779498364251
2023-06-30,-0.006515354970676013
2023-07-31,0.024541303485762667
2023-08-31,-0.009821390837598476
2023-09-30,-0.006843339430635975
2023-10-31,-0.005838525522187554
2023-11-30,0.0013476234688567512
2023-12-31,-0.008400923185867604
2024-01-31,0.011822861617914349
2024-02-29,-0.00816409366185833
2024-03-31,0.017234427495850246
2024-04-30,-0.015061344800259335
2024-05-31,-0.030124369870603296
2024-06-30,-0.022028613794444984
2024-07-31,0.0006433511840395756
2024-08-31,-0.0004967062618206342
2024-09-30,-0.005549219794260707
2024-10-31,-0.010139801824249894
2024-11-30,-0.03538961246076078
2024-12-31,-0.007111250046469508
2025-01-31,-0.007079491351758671
2025-02-28,0.005705730729373082
2025-03-31,-0.007671974876433563
2025-04-30,-0.005135707921824384
2025-05-31,-0.0085192652157845
2025-06-30,-0.005586179086430887
2025-07-31,-0.030102667519500192
2025-08-31,0.0032219197338110295
2025-09-30,-0.017032460353556655
2025-10-31,0.01717321223164947
2025-11-30,-0.014929539519102253
2025-12-31,-0.010219746587447509
2026-01-31,-0.006564068053918626
2026-02-28,-0.0359105276351851
2026-03-31,0.011958694715641593
2026-04-30,0.0
2026-05-31,0.0
