,monthly_net
2003-01-31,0.0
2003-02-28,0.011192829173905183
2003-03-31,-0.0053308546633250575
2003-04-30,-0.017720915008663574
2003-05-31,-0.020886462916904547
2003-06-30,-0.009012268482726404
2003-07-31,-0.015785708072971416
2003-08-31,-0.00599566822169606
2003-09-30,0.02321615943144395
2003-10-31,-0.010443870793106491
2003-11-30,-0.00014589873090786742
2003-12-31,0.004977403581792439
2004-01-31,-0.017223587331417933
2004-02-29,0.011557643058301315
2004-03-31,0.011760139909001932
2004-04-30,-0.018642689026629577
2004-05-31,0.002289184876538508
2004-06-30,-0.006547102067103405
2004-07-31,-0.018565258811170104
2004-08-31,-0.005122188695446117
2004-09-30,0.005575384612166001
2004-10-31,-0.010451972419596278
2004-11-30,-0.011304178529524478
2004-12-31,0.01653140298975253
2005-01-31,-0.00414241444556418
2005-02-28,-0.029040127933643856
2005-03-31,-0.00046119406192834944
2005-04-30,0.009102610170757863
2005-05-31,-0.012443229374832887
2005-06-30,-0.0224836297546972
2005-07-31,-0.009933259679499096
2005-08-31,0.0021382553838984464
2005-09-30,0.012525824352596304
2005-10-31,-0.025565798290259067
2005-11-30,-0.007228435374422859
2005-12-31,0.009194404115598465
2006-01-31,0.00027306841036445206
2006-02-28,-0.0010951362782862795
2006-03-31,-0.0010430486128051308
2006-04-30,-0.008418871308558118
2006-05-31,0.0031469796249947724
2006-06-30,0.013573931133778139
2006-07-31,0.0005750743975949657
2006-08-31,-0.028641907733004013
2006-09-30,0.0009930566519558148
2006-10-31,-0.030230350953031726
2006-11-30,0.01922179941422475
2006-12-31,-0.013092493221805501
2007-01-31,-0.0007179676290443027
2007-02-28,-0.0045763815931729734
2007-03-31,-0.005911425994077568
2007-04-30,0.011530704981987494
2007-05-31,-0.00814753348092001
2007-06-30,-0.38765217449789635
2007-07-31,-0.0009278929932068358
2007-08-31,-0.00019337272278230344
2007-09-30,-0.013137170527306008
2007-10-31,0.011588624056675823
2007-11-30,-0.017052352289501194
2007-12-31,0.005324163762945533
2008-01-31,0.028191683634584797
2008-02-29,0.003458133845984479
2008-03-31,-0.013074757675852311
2008-04-30,0.013112531014576323
2008-05-31,0.0063928248868301285
2008-06-30,-0.019846408016214956
2008-07-31,0.0031241004839175357
2008-08-31,0.007173280149779471
2008-09-30,-0.000983331963200662
2008-10-31,-0.0008145334241063118
2008-11-30,-0.012969709003496255
2008-12-31,0.002789400852551971
2009-01-31,-0.011304089376337423
2009-02-28,-0.014853236170254691
2009-03-31,-0.0013278760187959149
2009-04-30,0.001092473396702598
2009-05-31,-0.002502507743777249
2009-06-30,0.015089334877374627
2009-07-31,0.024114213640896498
2009-08-31,0.016084888984651657
2009-09-30,-0.018508297884834102
2009-10-31,0.0012782210934021432
2009-11-30,-0.016408985469304582
2009-12-31,-0.016395218294898428
2010-01-31,0.03068004607605368
2010-02-28,-0.0053759978929998065
2010-03-31,-0.004975329288304797
2010-04-30,-0.0034662920878064662
2010-05-31,0.012708797501706393
2010-06-30,-0.007320436821395493
2010-07-31,0.014673150968135928
2010-08-31,-0.027718465910154477
2010-09-30,0.005477610267205835
2010-10-31,-0.0038172078968992107
2010-11-30,0.0025555001299453206
2010-12-31,-0.0021277066660783106
2011-01-31,0.0012230919531006634
2011-02-28,-0.006339202861279536
2011-03-31,-0.009261556477544453
2011-04-30,-0.006873931770525199
2011-05-31,0.0032519500075729457
2011-06-30,0.008265717334902778
2011-07-31,-0.0031920928564370676
2011-08-31,-0.005008267942557043
2011-09-30,-0.031885017420616446
2011-10-31,0.009952083436553849
2011-11-30,0.0002480650336169621
2011-12-31,-0.011037471334823246
2012-01-31,-0.013741588186400033
2012-02-29,-0.013702379436324463
2012-03-31,-0.03195993195463798
2012-04-30,-0.003251324339817785
2012-05-31,-0.010710128275810527
2012-06-30,-0.0099959602603229
2012-07-31,-0.027751154462803074
2012-08-31,0.016706069079689856
2012-09-30,-0.014762164573634218
2012-10-31,-0.009842948607237445
2012-11-30,0.009774898693811984
2012-12-31,-0.0012026010007611942
2013-01-31,0.006309948238015339
2013-02-28,-0.0022290692732084283
2013-03-31,-0.000954140233973555
2013-04-30,-0.0036502246372352998
2013-05-31,-0.008989650300691876
2013-06-30,-0.010624947849193322
2013-07-31,0.005552689778643538
2013-08-31,-0.009164711089496569
2013-09-30,-0.017837342310114024
2013-10-31,0.00902211789332874
2013-11-30,-0.00901428713173491
2013-12-31,-0.00908626865249429
2014-01-31,-0.004413070549198039
2014-02-28,-0.0017621431110138586
2014-03-31,0.022868265645236363
2014-04-30,0.009231538055314514
2014-05-31,0.008750506650256895
2014-06-30,-0.018443737940816662
2014-07-31,-0.018607589117167533
2014-08-31,-0.002875906544907769
2014-09-30,0.0005373235004653143
2014-10-31,0.009679353706460558
2014-11-30,0.0171517307448108
2014-12-31,-0.007614679056416107
2015-01-31,-0.02522683980119189
2015-02-28,0.005153170028976861
2015-03-31,-0.003476145774348627
2015-04-30,0.0015526960280911606
2015-05-31,0.005505273493887408
2015-06-30,-0.006104712972756721
2015-07-31,-0.02052985960453113
2015-08-31,-0.009874774398931252
2015-09-30,-0.01744189780319849
2015-10-31,0.01800667331207495
2015-11-30,0.0001925716924615628
2015-12-31,0.014770789903640669
2016-01-31,-0.018787866824183097
2016-02-29,-0.0008876953439963531
2016-03-31,0.007074499942312906
2016-04-30,-0.010863235001780547
2016-05-31,0.012808183718352684
2016-06-30,-0.015327886420417824
2016-07-31,-0.017578368111020093
