date,regime,equity,ret_m,cash,n_picks,spy_frac
2003-01-31,normal,0.999,0.0,False,0,0.0
2003-02-28,normal,0.999,0.0,False,0,0.0
2003-03-31,normal,0.999,0.0,False,0,0.0
2003-04-30,recovery,0.999,0.0,False,0,0.0
2003-05-30,recovery,0.999,0.0,False,0,0.0
2003-06-30,recovery,0.999,0.0,False,0,0.0
2003-07-31,recovery,0.999,0.0,False,0,0.0
2003-08-29,recovery,0.998001,0.0,False,2,0.0
2003-09-30,bull,1.1362802848408091,0.13855625880215444,False,2,0.0
2003-10-31,recovery,1.1147709901914866,-0.018929567762707246,False,2,0.0
2003-11-28,recovery,1.1063296583624176,-0.007572256457462307,False,2,0.0
2003-12-31,recovery,1.0682809092336254,-0.03439187302011922,False,2,0.0
2004-01-30,recovery,1.1180421213103138,0.04658064339311888,False,2,0.0
2004-02-27,recovery,1.118602656545894,0.0005013543093737253,False,2,0.0
2004-03-31,bull,1.053847297990505,-0.056946455457112424,False,2,0.0
2004-04-30,bull,0.9649943801092506,-0.08431289623333534,False,2,0.0
2004-05-31,recovery,0.9935449531708601,0.029586258376320444,False,2,0.0
2004-06-30,recovery,0.9266994522798695,-0.06727979511913963,False,2,0.0
2004-07-30,normal,0.959192735865839,0.035063453966687114,False,2,0.0
2004-08-31,normal,0.9845546149665619,0.026440858184595552,False,2,0.0
2004-09-30,normal,1.077613583371471,0.09451884841154251,False,2,0.0
2004-10-29,normal,1.2221018882363122,0.1352169574759913,False,2,0.0
2004-11-30,recovery,1.2174626568000588,-0.0037961085576494885,False,2,0.0
2004-12-31,recovery,1.2145888079647955,-0.0023605231907621073,False,2,0.0
2005-01-31,normal,1.3129832362555818,0.08101048490283647,False,2,0.0
2005-02-28,recovery,1.306959567308124,-0.004587772928949414,False,2,0.0
2005-03-31,normal,1.238681220193946,-0.0522421265523977,False,2,0.0
2005-04-29,normal,1.2950503346239308,0.04550736179011307,False,2,0.0
2005-05-31,recovery,1.3298559252168969,0.027903763073262453,False,2,0.0
2005-06-30,normal,2.202632100651082,0.6562937825703464,False,2,0.0
2005-07-29,recovery,2.1208299377422644,-0.0371383686293492,False,2,0.0
2005-08-31,bull,2.1615511626622204,0.019200608306814974,False,2,0.0
2005-09-30,recovery,2.1667363971900855,0.0023988488532831406,False,2,0.0
2005-10-31,normal,2.070827725906563,-0.044264116026250924,False,2,0.0
2005-11-30,recovery,2.2035725914374606,0.06410232192191889,False,2,0.0
2005-12-30,normal,2.2976363237445887,0.043730653095603894,False,2,0.0
2006-01-31,recovery,2.368356691836229,0.030779617888519212,False,2,0.0
2006-02-28,recovery,2.5494987428251883,0.0764842777328936,False,2,0.0
2006-03-31,recovery,2.7370082649109126,0.07354760327433553,False,2,0.0
2006-04-28,recovery,2.6121817447656266,-0.04560692115752499,False,2,0.0
2006-05-31,bull,2.6160006221079346,0.0014619493264434805,False,2,0.0
2006-06-30,normal,2.4602099513863807,-0.05955299452338046,False,2,0.0
2006-07-31,recovery,2.4210644636262826,-0.014926368291383718,False,2,0.0
2006-08-31,recovery,2.4778623368369748,0.023459876456829343,False,2,0.0
2006-09-29,recovery,2.7173097252907263,0.09663466161700066,False,2,0.0
2006-10-31,recovery,2.7139113018494845,-0.001250657372478317,False,2,0.0
