year,strategy_ret,spy_ret,edge_pp
2003,0.3862240335033642,0.28181598590121415,10.440804760215006
2004,0.3812517569550793,0.10697901694583356,27.427274000924573
2005,0.34623029970196906,0.04828270027745751,29.794759942451154
2006,0.1972719391736084,0.15845248842761017,3.881945074599824
2007,0.4449551709463895,0.0514622542062535,39.3492916740136
2008,-0.20210674646932003,-0.3679497208112278,16.584297434190777
2009,7.275396955345652,0.26351693261924547,701.1880022726407
2010,1.3003337523227767,0.15056170358074228,114.97720487420344
2011,-0.26735850296443997,0.018949508746777477,-28.630801171121746
2012,0.008516443046890698,0.15990369360273804,-15.138725055584734
2013,-0.07773931293258773,0.32307782990064626,-40.0817142833234
2014,0.07856183611352807,0.1434687013535565,-6.490686524002842
2015,0.2212620005576671,0.012342672077436001,20.89193284802311
2016,1.2529818511633333,0.11997907724709056,113.30027739162428
2017,0.4336105755431101,0.21705424517878003,21.65563303643301
2018,0.2619864031564383,-0.04569001297783626,30.767641613427454
2019,-0.196738149597543,0.3122384546666326,-50.89766042641756
2020,-0.4012241897093325,0.18331634381392137,-58.45405335232539
2021,0.5279572670599839,0.28728770997528086,24.066955708470307
2022,-0.353646872563246,-0.18175373553165997,-17.189313703158604
2023,0.6991810160590288,0.26175792807545273,43.74230879835761
2024,0.18684738973421666,0.24886459603923305,-6.201720630501639
2025,0.15607125275879086,0.17719061307023454,-2.111936031144368
2026,0.08369943104177091,0.07575370565890882,0.794572538286209
