split,from,to,n_m,cagr,spy_cagr,edge_pp,sharpe,spy_sharpe,max_dd,n_cash
A1,2011-01-01,2018-12-31,81,-0.042383550940820136,0.14468767169648244,-18.70712226373026,0.06931840446854906,1.2947022499191645,-0.812081786095579,0
A2,2015-01-01,2021-12-31,69,0.3331582960878583,0.12427307397253418,20.88852221153241,0.8253347548431192,0.9172600464960953,-0.347338989295516,0
A3,2018-01-01,2024-12-31,72,0.07801270788154868,0.12577715614187612,-4.776444826032744,0.357179436014918,0.7753608526256835,-0.46383656588426986,1
R1_GFC,2008-01-01,2010-12-31,36,1.3162340289458672,0.00047259599882343295,131.57614329470437,1.3499774771474669,0.10791611069788355,-0.4923980695555525,3
R2,2011-01-01,2013-12-31,31,-0.3906161612380661,0.16863477591387,-55.92509371519361,-0.8860224621911582,1.3851114131645232,-0.812081786095579,0
R3,2014-01-01,2016-12-31,32,0.36749458884293484,0.151022221078007,21.647236776492782,1.5402883623869887,1.232565918345097,-0.12753082179934785,0
R4,2017-01-01,2019-12-31,27,0.13036696492963595,0.12347017271517702,0.6896792214458936,0.5662967884428523,1.1873952397357754,-0.34733898929551604,0
R5_COVID,2020-01-01,2022-12-31,30,0.2752220025309764,-0.006777183432021605,28.1999185962998,0.618425158350875,0.07639428510163807,-0.4638365658842698,1
R6_AI,2023-01-01,2024-12-31,24,-0.07207735283350902,0.3595093726573664,-43.15867254908754,-0.06639827304574682,2.67043916609621,-0.22628851753795992,0
STRICT,2021-01-01,2024-12-31,42,0.00624596540239275,0.14941890772001476,-14.317294231762201,0.20455212391032232,0.8682175986141316,-0.46383656588427,1
