entry_date,exit_date,entered_with,exited_with,return_pct,picks,regime_at_entry,exit_reason
2003-03-31,2003-09-30,3.0,3.14370315,4.790104999999989,"CBE,BOL",normal,matured_6m
2003-04-30,2003-10-31,1.0,1.448210328984168,44.82103289841679,"BOL,UVN",recovery,matured_6m
2003-06-30,2003-12-31,2.0,2.264183563446285,13.209178172314239,"EXC,PGR",recovery,matured_6m
2003-07-31,2004-01-30,1.0,1.2881135255870173,28.81135255870173,"CCU,XEL",recovery,matured_6m
2003-09-30,2004-03-31,5.14370315,7.031041328780796,36.69220644626032,"CCU,TUP",bull,matured_6m
2003-10-31,2004-04-30,2.448210328984168,2.618655483671356,6.962030699294952,"RRD,CCU",recovery,matured_6m
2003-12-31,2004-06-30,4.264183563446284,4.6506967742948815,9.064178525565625,"BF.B,MRO",recovery,matured_6m
2004-03-31,2004-09-30,11.319154854367813,12.566998768868501,11.02417919496148,"ASH,BEN",bull,matured_6m
2004-04-30,2004-10-29,3.618655483671356,3.1713423978293043,-12.361306232673574,"TLAB,SANM",bull,matured_6m
2004-05-31,2004-11-30,1.0,1.2819633607200873,28.196336072008734,"WMB,PTC",recovery,matured_6m
2004-06-30,2004-12-31,5.6506967742948815,6.636776320490249,17.45058327463367,"WMB,TJX",recovery,matured_6m
2004-08-31,2005-02-28,2.0,2.349492938551959,17.47464692759795,"WOR,CMS",normal,matured_6m
2004-09-30,2005-03-31,13.566998768868501,25.146600331347212,85.35123913366773,"WMB,AAPL",normal,matured_6m
2004-11-30,2005-05-31,6.4533057585493925,6.948355526391721,7.671258520278257,"SRE,FE",recovery,matured_6m
2004-12-31,2005-06-30,7.636776320490249,8.678874342705752,13.645784274438522,"CSX,EXC",recovery,matured_6m
2005-01-31,2005-07-29,1.0,1.0460920120132056,4.609201201320556,"CSX,CCU",normal,matured_6m
2005-02-28,2005-08-31,3.349492938551959,3.5577869121598296,6.2186718237393634,"CSX,NVDA",recovery,matured_6m
2005-03-31,2005-09-30,26.146600331347212,26.627392555975106,1.838832653327671,"BLL,WEN",normal,matured_6m
2005-05-31,2005-11-30,8.94835552639172,11.989709442618569,33.98785293294247,"UVN,BLL",recovery,matured_6m
2005-06-30,2005-12-30,9.678874342705752,13.485175264390282,39.325863596452784,"UVN,CSX",normal,matured_6m
2005-08-31,2006-02-28,6.603878924173035,7.773843980872257,17.716331115893812,"CSX,CCU",bull,matured_6m
2005-09-30,2006-03-31,27.627392555975106,27.34340212562814,-1.0279306299774138,"CCU,PEG",recovery,matured_6m
2005-10-31,2006-04-28,1.0,0.9234494268223736,-7.655057317762637,"UVN,NEE",normal,matured_6m
2005-11-30,2006-05-31,12.989709442618569,16.348327628928118,25.855991630498632,"CSX,BOL",recovery,matured_6m
2006-01-31,2006-07-31,15.485175264390282,16.14930488276651,4.288809180632658,"BOL,UVN",recovery,matured_6m
2006-02-28,2006-08-31,8.773843980872257,9.745609881064674,11.075714388253877,"AAPL,NVDA",recovery,matured_6m
2006-03-31,2006-09-29,28.34340212562814,28.124014715590963,-0.774033438416355,"NVDA,KMG",recovery,matured_6m
2006-05-31,2006-11-30,19.27177705575049,21.941220518782508,13.851568826837823,"NVDA,GDW",bull,matured_6m
2006-06-30,2006-12-29,1.0,1.4844795116289493,48.44795116289493,"KMG,NVDA",normal,matured_6m
2006-07-31,2007-01-31,17.14930488276651,18.16543667728399,5.925206890097323,"GDW,CSX",recovery,matured_6m
2006-08-31,2007-02-28,10.745609881064674,12.865204073872663,19.725210725759013,"GDW,T",recovery,matured_6m
2006-10-31,2007-04-30,30.124014715590963,32.2041609779593,6.905275681238243,"NVDA,EP",recovery,matured_6m
2006-11-30,2007-05-31,22.941220518782508,25.74596581918521,12.225789373788508,"GPS,T",recovery,matured_6m
2007-01-31,2007-07-31,21.64991618891294,30.071425672531888,38.89857775953727,"BOL,CCU",recovery,matured_6m
2007-02-28,2007-08-31,13.865204073872663,25.25564029066841,82.15123380880975,"BOL,NVDA",bull,matured_6m
2007-04-30,2007-10-31,34.2041609779593,43.28880676462228,26.56006031698017,"NVDA,EP",recovery,matured_6m
2007-05-31,2007-11-30,26.74596581918521,28.27959044641696,5.734040930134077,"EP,NVDA",recovery,matured_6m
2007-07-31,2008-01-31,32.07142567253189,28.145751333852804,-12.240411071096513,"NVDA,AMZN",bull,matured_6m
2007-08-31,2008-02-29,26.25564029066841,18.78678134123751,-28.446683709653907,"NVDA,AMZN",recovery,matured_6m
2007-10-31,2008-04-30,45.28880676462228,45.79952540483837,1.127692859894558,"AMZN,JCI",recovery,matured_6m
2007-11-30,2008-05-30,29.27959044641696,21.57209352768482,-26.32378664188362,"AMZN,NVDA",normal,matured_6m
2007-12-31,2008-06-30,1.0,0.6454893411596612,-35.45106588403388,"AMZN,NVDA",normal,matured_6m
2008-01-31,2008-07-31,29.145751333852804,10.638785940457637,-63.49798700127973,"MBI,MTG",normal,matured_6m
2008-02-29,2008-08-29,19.78678134123751,8.790114056232515,-55.57582658523097,"MBI,MTG",normal,matured_6m
2008-03-31,2008-09-30,1.0,0.8208237698571778,-17.917623014282224,"MTG,MBI",normal,crash_force_close
2008-04-30,2008-09-30,46.79952540483837,48.05384807951157,2.6802038350233426,"MBI,FHN",normal,crash_force_close
2008-06-30,2008-09-30,24.21758286884448,46.705490314543184,92.85777018906798,"MTG,MBI",normal,crash_force_close
2008-07-31,2008-09-30,11.638785940457637,18.054128498129398,55.12037587504173,"MTG,MBI",normal,crash_force_close
2008-12-31,2009-01-30,127.42440471827383,127.169683333242,-0.1998999999999973,"GR,GNW",normal,crash_force_close
2009-03-31,2009-09-30,130.169683333242,776.1477243902873,496.2584409176934,"TGNA,GNW",normal,matured_6m
2009-04-30,2009-10-30,1.0,3.963576420088887,296.3576420088887,"GNW,TGNA",normal,matured_6m
2009-06-30,2009-12-31,2.0,5.830659524925046,191.5329762462523,"TGNA,F",normal,matured_6m
2009-07-31,2010-01-29,1.0,1.959330978893699,95.9330978893699,"AIG,GNW",recovery,matured_6m
2009-08-31,2010-02-26,1.0,0.9446615567467285,-5.533844325327153,"HBAN,GR",recovery,matured_6m
2009-09-30,2010-03-31,777.1477243902873,2241.269580878143,188.39685307404528,"HBAN,EP",recovery,matured_6m
2009-11-30,2010-05-31,5.963576420088887,7.449287750033961,24.913092837048435,"HBAN,NVDA",recovery,crash_force_close
2009-12-31,2010-05-31,6.830659524925046,7.4876211169595095,9.617835432101597,"NVDA,HBAN",recovery,crash_force_close
2010-03-31,2010-05-31,2247.1735734137837,1907.7338042821464,-15.105186940053716,"NVDA,COG",recovery,crash_force_close
2010-04-30,2010-05-31,1.0,0.8982407608760422,-10.17592391239578,"COG,NVDA",recovery,crash_force_close
2010-06-30,2010-12-31,1925.5689539100158,2563.457195703352,33.12726041298366,"NVDA,COG",normal,matured_6m
2010-08-31,2011-02-28,2.0,3.179493749145185,58.97468745725924,"GT,COG",normal,matured_6m
2010-09-30,2011-03-31,1.0,1.0561135853277088,5.611358532770883,"GR,HST",recovery,matured_6m
2010-11-30,2011-05-31,2.0,1.9435190086085103,-2.8240495695744827,"ORLY,F",bull,matured_6m
2010-12-31,2011-06-30,2564.457195703352,4002.101804626675,56.06038624204919,"NFLX,EP",recovery,matured_6m
