date,regime,n_active_tranches,nav_invested,cash_pool,nav_total,cum_deposits,new_capital_invested
2003-01-31,normal,0,0.0,1.0,1.0,1.0,False
2003-02-28,normal,0,0.0,2.0,2.0,2.0,False
2003-03-31,normal,1,2.997,0.0,2.997,3.0,True
2003-04-30,recovery,2,4.268403122039685,0.0,4.268403122039685,4.0,True
2003-05-30,recovery,2,4.268403122039685,1.0,5.268403122039685,5.0,False
2003-06-30,recovery,3,5.745852355450529,0.0,5.745852355450529,6.0,True
2003-07-31,recovery,4,7.951998190088561,0.0,7.951998190088561,7.0,True
2003-08-29,recovery,4,7.951998190088561,1.0,8.95199819008856,8.0,False
2003-09-30,bull,4,9.07789964790778,0.0,9.07789964790778,9.0,True
2003-10-31,recovery,4,11.272734442258137,0.0,11.272734442258137,10.0,True
2003-11-28,recovery,4,11.272734442258137,1.0,12.272734442258137,11.0,False
2003-12-31,recovery,4,14.108106234123241,0.0,14.108106234123241,12.0,True
2004-01-30,recovery,3,12.821535195908062,2.2852844671769628,15.106819663085025,13.0,False
2004-02-27,recovery,3,12.912197077482265,3.2852844671769628,16.197481544659226,14.0,False
2004-03-31,bull,3,17.46111833116369,0.0,17.46111833116369,15.0,True
2004-04-30,bull,3,18.483846822773366,0.0,18.483846822773366,16.0,True
2004-05-31,recovery,4,19.234921565794153,0.0,19.234921565794153,17.0,True
2004-06-30,recovery,4,20.89408802615176,0.0,20.89408802615176,18.0,True
2004-07-30,normal,4,20.89408802615176,1.0,21.89408802615176,19.0,False
2004-08-31,normal,5,22.132325301800574,0.0,22.132325301800574,20.0,True
2004-09-30,normal,5,24.19417552401767,0.0,24.19417552401767,21.0,True
2004-10-29,normal,4,21.150577959743686,4.040553966709709,25.191131926453394,22.0,False
2004-11-30,recovery,4,32.99728677506843,0.0,32.99728677506843,23.0,True
2004-12-31,recovery,4,34.35723353657769,0.0,34.35723353657769,24.0,True
2005-01-31,normal,5,37.11232747071155,0.0,37.11232747071155,25.0,True
2005-02-28,recovery,5,40.39762086180347,0.0,40.39762086180347,26.0,True
2005-03-31,normal,5,40.448845405834305,0.0,40.448845405834305,27.0,True
2005-04-29,normal,5,40.448845405834305,1.0,41.448845405834305,28.0,False
2005-05-31,recovery,5,42.60995047087879,0.0,42.60995047087879,29.0,True
2005-06-30,normal,5,43.98147554743928,0.0,43.98147554743928,30.0,True
2005-07-29,recovery,4,42.90955122416231,2.0708523989536998,44.980403623116004,31.0,False
2005-08-31,bull,4,51.05798863753598,0.0,51.05798863753598,32.0,True
2005-09-30,recovery,4,52.802511111999706,0.0,52.802511111999706,33.0,True
2005-10-31,normal,5,52.683939094424986,0.0,52.683939094424986,34.0,True
2005-11-30,recovery,5,53.93162150947228,0.0,53.93162150947228,35.0,True
2005-12-30,normal,4,42.692323014552215,12.228059196425148,54.920382210977365,36.0,False
2006-01-31,recovery,5,57.96155085729146,0.0,57.96155085729146,37.0,True
2006-02-28,recovery,5,62.048818614582174,0.0,62.048818614582174,38.0,True
2006-03-31,recovery,5,65.27955057879623,0.0,65.27955057879623,39.0,True
2006-04-28,recovery,4,64.27866010156689,1.9998895867521174,66.278549688319,40.0,False
2006-05-31,bull,4,63.00140788188027,0.0,63.00140788188027,41.0,True
2006-06-30,normal,5,59.04689381701272,0.0,59.04689381701272,42.0,True
2006-07-31,recovery,5,61.55460348988636,0.0,61.55460348988636,43.0,True
2006-08-31,recovery,5,68.93379594898558,0.0,68.93379594898558,44.0,True
2006-09-29,recovery,4,42.828898957601695,27.078792094392494,69.90769105199419,45.0,False
2006-10-31,recovery,5,75.35694274337337,0.0,75.35694274337337,46.0,True
2006-11-30,recovery,5,78.73141174567264,0.0,78.73141174567264,47.0,True
2006-12-29,recovery,4,77.42102197437188,2.309079381529469,79.73010135590135,48.0,False
2007-01-31,recovery,4,87.49733352358955,0.0,87.49733352358955,49.0,True
2007-02-28,bull,4,86.12870219274768,0.0,86.12870219274768,50.0,True
2007-03-30,recovery,4,86.12870219274768,1.0,87.12870219274768,51.0,False
2007-04-30,recovery,4,94.42431192205215,0.0,94.42431192205215,52.0,True
2007-05-31,recovery,4,97.60716549765203,0.0,97.60716549765203,53.0,True
2007-06-29,bull,4,97.60716549765203,1.0,98.60716549765203,54.0,False
2007-07-31,bull,4,118.28569465070915,0.0,118.28569465070915,55.0,True
2007-08-31,recovery,4,124.66817445853938,0.0,124.66817445853938,56.0,True
2007-09-28,recovery,4,124.66817445853938,1.0,125.66817445853938,57.0,False
2007-10-31,recovery,4,136.12036248920424,0.0,136.12036248920424,58.0,True
2007-11-30,normal,4,125.96423956817705,0.0,125.96423956817705,59.0,True
2007-12-31,normal,5,134.8668306850753,0.0,134.8668306850753,60.0,True
2008-01-31,normal,5,112.83903521831024,0.0,112.83903521831024,61.0,True
2008-02-29,normal,5,101.18526178668105,0.0,101.18526178668105,62.0,True
2008-03-31,normal,6,98.6224867057143,0.0,98.6224867057143,63.0,True
2008-04-30,normal,6,102.616201342988,0.0,102.616201342988,64.0,True
2008-05-30,normal,5,78.50641822104237,25.085673338823707,103.59209155986608,65.0,False
2008-06-30,normal,5,71.61848566036892,0.0,71.61848566036892,66.0,True
2008-07-31,normal,5,80.10357718875372,0.0,80.10357718875372,67.0,True
2008-08-29,normal,4,70.87593458995794,10.218414956196987,81.09434954615492,68.0,False
2008-09-30,crash,3,92.45290240491659,11.997335507407454,104.45023791232404,69.0,False
2008-10-31,crash,2,43.528571685066815,47.12760381075442,90.65617549582123,70.0,False
2008-11-28,crash,2,43.528571685066815,48.12760381075442,91.65617549582123,71.0,False
2008-12-31,normal,2,72.63660869316827,0.0,72.63660869316827,72.0,True
2009-01-30,crash,1,67.13261608378036,6.498488616778512,73.63110470055888,73.0,False
2009-02-27,crash,1,104.04964184740591,7.498488616778512,111.54813046418442,74.0,False
2009-03-31,normal,2,110.91334723488256,0.0,110.91334723488256,75.0,True
2009-04-30,normal,3,166.11037981705053,0.0,166.11037981705053,76.0,True
2009-05-29,recovery,3,166.11037981705053,1.0,167.11037981705053,77.0,False
2009-06-30,normal,3,195.3052990249187,0.0,195.3052990249187,78.0,True
2009-07-31,recovery,4,313.44134258527225,0.0,313.44134258527225,79.0,True
2009-08-31,recovery,5,346.2510304265399,0.0,346.2510304265399,80.0,True
2009-09-30,recovery,5,430.0869176344198,0.0,430.0869176344198,81.0,True
2009-10-30,recovery,4,426.68506951854613,4.398446267757791,431.0835157863039,82.0,False
2009-11-30,recovery,5,390.5186864717753,0.0,390.5186864717753,83.0,True
2009-12-31,recovery,5,497.4046733515031,0.0,497.4046733515031,84.0,True
2010-01-29,bull,4,495.8572999515632,2.545826026540034,498.4031259781033,85.0,False
2010-02-26,recovery,3,522.2223024781838,4.77971644987207,527.0020189280559,86.0,False
2010-03-31,recovery,3,604.0464636255651,0.0,604.0464636255651,87.0,True
2010-04-30,recovery,4,626.168540962367,0.0,626.168540962367,88.0,True
2010-05-31,crash,3,555.5888550832302,7.800782532959058,563.3896376161892,89.0,False
2010-06-30,normal,3,498.47465792945883,0.0,498.47465792945883,90.0,True
2010-07-30,normal,3,498.47465792945883,1.0,499.47465792945883,91.0,False
2010-08-31,normal,4,469.4700039081362,0.0,469.4700039081362,92.0,True
2010-09-30,recovery,4,522.1693970348543,0.0,522.1693970348543,93.0,True
2010-10-29,recovery,3,521.3630544023031,1.8055362899187277,523.1685906922218,94.0,False
2010-11-30,bull,4,594.8553558661565,0.0,594.8553558661565,95.0,True
2010-12-31,recovery,4,649.9822887854257,0.0,649.9822887854257,96.0,True
2011-01-31,recovery,5,790.7221739187945,0.0,790.7221739187945,97.0,True
2011-02-28,recovery,5,880.1248354075423,0.0,880.1248354075423,98.0,True
2011-03-31,bull,5,837.0433651546992,0.0,837.0433651546992,99.0,True
2011-04-29,recovery,5,818.1506802724059,1.0,819.1506802724059,100.0,False
