split,from,to,n_m,cagr,spy_cagr,edge_pp,sharpe,max_dd
A1,2011-01-01,2018-12-31,81,0.29053112151773575,0.11298712609873585,17.75439954189999,0.9049499272556039,-0.4208504182965658
A2,2015-01-01,2021-12-31,69,0.24640855209812584,0.1482767891952268,9.813176290289904,0.892299864683969,-0.44801087372530374
A3,2018-01-01,2024-12-31,72,0.05168569162035275,0.13719857315363915,-8.55128815332864,0.32400070704878664,-0.44801087372530385
R1_GFC,2008-01-01,2010-12-31,36,1.1136298499649522,-0.0278180889308145,114.14479388957668,1.4405478698873342,-0.3950805941112555
R2,2011-01-01,2013-12-31,31,0.06925099778548538,0.16070003083277173,-9.144903304728636,0.3548926565239249,-0.4208504182965658
R3,2014-01-01,2016-12-31,32,0.5584847292405786,0.09040352032995713,46.808120891062146,1.919913051582784,-0.1314403060504417
R4,2017-01-01,2019-12-31,27,0.08351582710133054,0.15081113383528977,-6.729530673395923,0.45699692799927627,-0.27764880791646723
R5_COVID,2020-01-01,2022-12-31,30,-0.06001133365279265,0.07618476354813275,-13.61960972009254,0.03522164501626939,-0.40812300930794987
R6_AI,2023-01-01,2024-12-31,24,0.29397378112936123,0.25529470848293223,3.8679072646429002,0.938748086936573,-0.2855034596502901
STRICT,2021-01-01,2024-12-31,42,0.1716371739345619,0.13504417076790376,3.6593003166658145,0.6434261646531696,-0.4081230093079499
