split,from,to,n_m,cagr,spy_cagr,edge_pp,sharpe,max_dd
A1,2011-01-01,2018-12-31,81,0.307844147734915,0.11298712609873585,19.485702163617912,1.1991907848676462,-0.3441295516547457
A2,2015-01-01,2021-12-31,69,0.298939881484765,0.1482767891952268,15.066309228953823,0.9938855696550077,-0.44624167501091244
A3,2018-01-01,2024-12-31,72,0.1406225075791565,0.13719857315363915,0.3423934425517361,0.5363833893187621,-0.44624167501091255
R1_GFC,2008-01-01,2010-12-31,36,0.5679822918032646,-0.0278180889308145,59.58003807340791,0.9739240092135584,-0.42793214115263023
R2,2011-01-01,2013-12-31,31,0.1104126332779729,0.16070003083277173,-5.028739755479883,0.4982570524508933,-0.3441295516547457
R3,2014-01-01,2016-12-31,32,0.5539948122359499,0.09040352032995713,46.359129190599276,1.9203882593582036,-0.130135843375662
R4,2017-01-01,2019-12-31,27,0.08386347336558897,0.15081113383528977,-6.69476604697008,0.45902254732080594,-0.2771565568173067
R5_COVID,2020-01-01,2022-12-31,30,0.11222013121578178,0.07618476354813275,3.603536766764903,0.4663462695387222,-0.4238409664254153
R6_AI,2023-01-01,2024-12-31,24,0.33792565963233323,0.25529470848293223,8.2630951149401,0.9233109710726379,-0.23141787951882312
STRICT,2021-01-01,2024-12-31,42,0.25644670452733087,0.13504417076790376,12.140253375942711,0.7815872539164264,-0.4238409664254154
