split,n,sharpe,cagr,corr_to_v5
A1,96,0.9540751068994454,0.08594085522203021,0.04933829953206114
A2,84,0.6684701100302112,0.07177895809696189,0.457092154874725
A3,84,0.3773064551097376,0.04369271290113996,0.5921484146418972
R1_GFC,36,0.45522586678520743,0.06980429716763048,0.09206874030791791
R2,36,1.3343713674013038,0.12481748623582645,-0.20101922410854026
R3,36,0.8301181979178712,0.07150933407731874,0.1721050856713888
R4,36,1.1513921634525563,0.10241272179369876,0.38023880483527345
R5_COVID,36,0.12067544973664912,0.006738884124911859,0.7518423310013901
R6_AI,24,0.6927082639423657,0.0911540779523945,0.4394505328186173
STRICT,48,0.27195370365626165,0.028770574586789,0.5815710464111575
