config,full_cagr,full_vol,full_sharpe,full_mdd,wf_mean_sharpe,wf_min_sharpe,wf_max_sharpe,wf_mean_cagr,wf_n_splits,target_vol
A_only (deployed v5 K=2 rule),0.4008222562879169,0.5547261557712418,0.8679729695505766,-0.8125089605488535,0.970288264481102,0.47062610337312016,1.928238271888659,0.3793028744402326,10,
static w=0.3 A + 0.7 SPY,0.20274636090789055,0.19619773529280685,1.0405414681697591,-0.43206037754944904,1.212307265221856,0.7232937707348086,1.861483156828855,0.18744628497416094,10,
static w=0.3 A + 0.7 TLT,0.16066471325086096,0.1904127180933165,0.8769666814744149,-0.35326533324219855,0.7761537306345347,-0.11078840100877992,1.5751399297532973,0.13197589790239758,10,
static w=0.3 A + 0.7 XLP,0.17947587064419745,0.18555696103047548,0.9829027630161133,-0.348543598322136,1.0718795127750036,0.39751778958811895,1.8459795403864583,0.1610036698943491,10,
static w=0.3 A + 0.7 XLU,0.2016399600851948,0.18592318091162277,1.084234456858761,-0.40744143895842355,1.1400469628782772,0.6441940019545251,1.789918954467764,0.16914902563605455,10,
static w=0.3 A + 0.7 TREND,0.19487530777931084,0.18919949167480624,1.0365846486385408,-0.343707200048909,1.162588183670217,0.6364159487499141,1.713530126302447,0.1794171278491255,10,
static w=0.3 A + 0.7 6040,0.18794073099235464,0.18368883691656723,1.0304674725802625,-0.3538226292943811,1.1892063514890452,0.4176578926796699,2.043012315788197,0.16673339935512768,10,
static w=0.4 A + 0.6 SPY,0.23967742503369172,0.24163051222389526,1.0088594536970106,-0.4763808816800014,1.2059745055101048,0.6815552871027287,1.9822902335531813,0.2211753571647997,10,
static w=0.4 A + 0.6 TLT,0.20239724166160644,0.23757739908427036,0.891980569226069,-0.38408188656838754,0.8693535450647489,0.06120945223691544,1.7752519420051072,0.1737542734186253,10,
static w=0.4 A + 0.6 XLP,0.21904463779002015,0.2344866587186555,0.9600265993111323,-0.41267110795034195,1.090949840452315,0.4920252986363667,1.9913945925259087,0.19830604136765784,10,
