year,year_ret
2003,0.7051537498238056
2004,0.2049648584296213
2005,0.12971201612138827
2006,-0.0770267204224071
2007,0.08436991083579848
2008,-0.20468465352075904
2009,4.733571458491031
2010,1.3299032732962068
2011,-0.49561129177141416
2012,0.06020780917879964
2013,0.21013134808863243
2014,0.21667891795250638
2015,-0.06162900138461258
2016,0.4556049494428356
2017,0.2139712931221469
2018,-0.0488655354329246
2019,0.2616385975522246
2020,-0.08143471706770034
2021,0.4926099909171542
2022,-0.1721144523427317
2023,0.3769270610754454
2024,0.495404588376094
2025,0.12783056238623702
