,daily_net
2003-01-01,0.0
2003-01-02,0.0
2003-01-03,0.0
2003-01-06,0.0
2003-01-07,0.0
2003-01-08,0.0
2003-01-09,0.0
2003-01-10,0.0
2003-01-13,0.0
2003-01-14,0.0
2003-01-15,0.0
2003-01-16,0.0
2003-01-17,0.0
2003-01-20,0.0
2003-01-21,0.0
2003-01-22,0.0
2003-01-23,0.0
2003-01-24,0.0
2003-01-27,0.0
2003-01-28,0.0
2003-01-29,0.0
2003-01-30,0.0
2003-01-31,0.0
2003-02-03,0.0
2003-02-04,0.0
2003-02-05,0.0
2003-02-06,0.0
2003-02-07,-0.001
2003-02-10,-0.0012821897118106816
2003-02-11,0.010631956384830936
2003-02-12,-0.0012352569177612907
2003-02-13,-0.0014876476922098636
2003-02-14,-0.005383040628897279
2003-02-17,0.0
2003-02-18,0.00566341566226207
2003-02-19,0.005066470207267965
2003-02-20,-0.0035842016536757667
2003-02-21,-0.00020741666736333406
2003-02-24,-0.0008675414626390778
2003-02-25,0.0007154149271345793
2003-02-26,0.0007608726983499665
2003-02-27,0.00298687043980404
2003-02-28,0.0004675153175051148
2003-03-03,0.0010648534375838428
2003-03-04,0.00037917810114558164
2003-03-05,-0.003518683695318548
2003-03-06,0.0016280507963084335
2003-03-07,-0.0014800602751382577
2003-03-10,0.001537218831665313
2003-03-11,0.006887865242801083
2003-03-12,-0.0013844719655891266
2003-03-13,-0.0036442558865878495
2003-03-14,0.0019528037544412535
2003-03-17,0.00031342556133600333
2003-03-18,-0.00020717459924527457
2003-03-19,-0.0022976226039836374
2003-03-20,-0.0021407110983881223
2003-03-21,-0.00392931286895985
2003-03-24,0.003319559268288937
2003-03-25,-9.6693990514821e-05
2003-03-26,-0.002107336196237009
2003-03-27,-0.0013692583758806163
2003-03-28,-0.0010832261621544518
2003-03-31,0.0008967171979804239
2003-04-01,0.003063819056835265
2003-04-02,-0.0051155761208152
2003-04-03,0.00018886443744002977
2003-04-04,-0.0052573933509782785
2003-04-07,0.0028750721817505432
2003-04-08,-0.004178741198820968
2003-04-09,-0.0009699983404639746
2003-04-10,0.0031192520420586737
2003-04-11,-0.0041862131119900165
2003-04-14,-0.0028524292799849815
2003-04-15,-0.0015955284444098981
2003-04-16,0.006527043835317296
2003-04-17,-0.007077748318239997
2003-04-18,-0.0015893169387014678
2003-04-21,-0.00098308701502191
2003-04-22,-0.004300935118288451
2003-04-23,-0.0011408096321884147
2003-04-24,-4.6044105168839046e-05
2003-04-25,0.003362388743326547
2003-04-28,-0.0015154169886591622
2003-04-29,0.002831861299390023
2003-04-30,0.0010946098004532736
2003-05-01,0.002256749863444773
2003-05-02,-0.0007107250657164016
2003-05-05,-0.001593044662290443
2003-05-06,0.004038871902616951
2003-05-07,-0.003463843585890822
2003-05-08,0.0016940822733636403
2003-05-09,-0.003446235056201609
2003-05-12,0.004356423979158998
2003-05-13,-0.002423987665268828
2003-05-14,-0.0030022288718904704
2003-05-15,-0.00025897349472443884
2003-05-16,-0.005548482325865732
2003-05-19,-0.0016480719133722048
2003-05-20,0.0023113005590410943
2003-05-21,-0.0006421251153217307
2003-05-22,-0.0028746317590029706
2003-05-23,-0.00900294055604185
2003-05-26,0.0
2003-05-27,0.00033808342943078757
2003-05-28,-0.0013119914348236254
2003-05-29,0.00041602912283812167
2003-05-30,-0.0004836625842962897
2003-06-02,0.0012761489149576799
2003-06-03,0.0009435254763036853
2003-06-04,-0.0009443824714771077
2003-06-05,-0.009303412724821304
2003-06-06,-0.0012431941850187694
2003-06-09,0.0008805135740516463
2003-06-10,-0.00044275243422421543
2003-06-11,-0.0027161837473729184
2003-06-12,-0.0011276702663769165
2003-06-13,-0.001773281497097796
2003-06-16,0.0009805191289573964
2003-06-17,-0.0006682103937267689
2003-06-18,0.0065997410638709295
2003-06-19,0.0025729128942477038
2003-06-20,-0.0014848188879041718
2003-06-23,-0.0002144499497604654
2003-06-24,0.002251849096365039
2003-06-25,-0.0031809054550554793
2003-06-26,-0.005223464280084115
2003-06-27,0.0017557496608372563
2003-06-30,0.002112935815517446
2003-07-01,0.004910136001735224
2003-07-02,-0.004014842865405743
2003-07-03,0.0026326713578710345
2003-07-04,-0.0016788806405403825
2003-07-07,0.007604572290430895
2003-07-08,0.0075867114239033615
2003-07-09,-0.0027607152038040855
2003-07-10,0.0012647822977423031
