year,k3_strategy,k2_strategy,spy,k3_edge_pp,k2_edge_pp,delta_pp
2003,21.665029610664366,33.20981541594556,28.181598590121414,-6.516568979457048,5.028216825824149,11.544785805281197
2004,25.32632488634445,28.39246459427138,10.697901694583356,14.628423191761096,17.694562899688023,3.0661397079269292
2005,52.424892305090644,73.55107205069045,4.828270027745751,47.59662227734489,68.7228020229447,21.126179745599806
2006,33.569430257867204,28.459054088739812,15.845248842761016,17.724181415106187,12.613805245978796,-5.110376169127392
2007,66.96747411417698,100.98215000894655,5.14622542062535,61.82124869355163,95.83592458832119,34.01467589476957
2008,14.229424137279167,58.12356879161156,-36.79497208112278,51.02439621840195,94.91854087273434,43.89414465433239
2009,117.63368959549547,269.82051653278086,26.351693261924545,91.28199633357093,243.46882327085632,152.1868269372854
2010,75.65224823066643,120.28734878568903,15.056170358074228,60.596077872592204,105.23117842761481,44.6351005550226
2011,-15.26059952158847,-28.573520466788082,1.8949508746777477,-17.155550396266218,-30.46847134146583,-13.312920945199613
2012,-1.4735057660155149,6.322770799928157,15.990369360273803,-17.463875126289317,-9.667598560345645,7.796276565943671
2013,61.81203081585751,105.57313355652936,32.307782990064624,29.504247825792888,73.26535056646473,43.761102740671845
2014,9.29411787310297,9.97940342734882,14.34687013535565,-5.05275226225268,-4.367466708006829,0.6852855542458514
2015,-0.1273818536300042,14.796013991434641,1.2342672077436,-1.3616490613736043,13.561746783691042,14.923395845064645
2016,118.81616996938611,188.25506468209093,11.997907724709055,106.81826224467706,176.25715695738188,69.43889471270482
2017,34.135929506748866,47.68832733992032,21.705424517878,12.430504988870865,25.98290282204232,13.552397833171455
2018,-21.150824358848595,-18.859863334230443,-4.569001297783625,-16.58182306106497,-14.290862036446818,2.290961024618152
2019,39.77666275305178,48.272923186702556,31.223845466663256,8.552817286388525,17.0490777200393,8.496260433650775
2020,61.15282655910976,32.61045317649209,18.331634381392135,42.82119217771763,14.278818795099959,-28.54237338261767
2021,33.72602640963862,29.022870036909087,28.728770997528088,4.997255412110533,0.294099039380999,-4.703156372729534
2022,10.127137943382337,-8.117806758094314,-18.175373553165997,28.302511496548334,10.057566795071683,-18.24494470147665
2023,74.90587337378236,155.75876564615325,26.17579280754527,48.730080566237085,129.582972838608,80.8528922723709
2024,-0.09026539551620916,14.715431446626326,24.886459603923306,-24.976724999439515,-10.17102815729698,14.805696842142535
2025,0.8724098579374839,8.29001724943188,17.719061307023452,-16.846651449085968,-9.429044057591572,7.417607391494396
2026,-4.125750867791156,0.44523802406575275,7.575370565890882,-11.701121433682038,-7.130132541825129,4.570988891856909
