year,strategy_ret,spy_ret,edge_pp
2003,0.250191107854985,0.28181598590121415,-3.1624878046229155
2004,0.3412833518458698,0.10697901694583356,23.430433490003622
2005,0.219057027060634,0.04828270027745751,17.07743267831765
2006,0.2072920891431853,0.15845248842761017,4.883960071557514
2007,0.5045259177115793,0.0514622542062535,45.30636635053258
2008,-0.29631901025455576,-0.3679497208112278,7.163071055667203
2009,5.423920265144286,0.26351693261924547,516.0403332525041
2010,1.0888672492143532,0.15056170358074228,93.83055456336109
2011,-0.03905637930476247,0.018949508746777477,-5.800588805153994
2012,0.06365592855618618,0.15990369360273804,-9.624776504655186
2013,0.16311697148615267,0.32307782990064626,-15.996085841449359
2014,0.3380573719676707,0.1434687013535565,19.45886706141142
2015,0.3160988792150716,0.012342672077436001,30.375620713763563
2016,0.8540020735039018,0.11997907724709056,73.40229962568112
2017,0.2697582359829853,0.21705424517878003,5.270399080420529
2018,0.13493314693947633,-0.04569001297783626,18.06231599173126
2019,-0.16883352971966425,0.3122384546666326,-48.10719843862968
2020,-0.17608673087622628,0.18331634381392137,-35.94030746901476
2021,0.4736279504232006,0.28728770997528086,18.634024044791975
2022,-0.294434729576194,-0.18175373553165997,-11.268099404453402
2023,0.5088842929695061,0.26175792807545273,24.712636489405337
2024,0.10967299086600968,0.24886459603923305,-13.919160517322338
2025,0.024263206737580534,0.17719061307023454,-15.2927406332654
2026,0.04335195469880704,0.07575370565890882,-3.2401750960101783
