asof,in_panel
2003,0.5242914979757085
2004,0.6341586659929257
2005,0.6554099462365591
2006,0.681924882629108
2007,0.7030516431924883
2008,0.7255821745686044
2009,0.7570998997661209
2010,0.7756024096385542
2011,0.7986250838363514
2012,0.8086854460093896
2013,0.8189134808853119
2014,0.8181666109066578
2015,0.8289232817440506
2016,0.8824402308326463
2017,0.9268654257947619
2018,0.9488701962724724
2019,0.9629629629629629
2020,0.9375
2021,0.921957671957672
2022,0.9532493368700266
2023,0.974269588313413
2024,0.9576763485477179
2025,0.9717795484727756
2026,0.0
