start,end,v5_moic,v5_term,v5_irr,v5_vs_spy,mn_moic,mn_term,mn_irr,mn_vs_spy,blend60_40_moic,blend60_40_term,blend60_40_irr,blend60_40_vs_spy,SPY_moic,SPY_term,SPY_irr,v5_shield_moic,v5_shield_term,v5_shield_vs_spy,v5_shield_irr
2003-03,2013-02,22.65206651412221,2718.247981694665,0.5993071399269878,15.896624743782239,4.286492718340596,514.3791262008715,0.27800127871636215,3.0081478953778373,10.885070182284256,1306.2084218741106,0.4547233802452033,7.638856079185032,1.4249607623770748,170.99529148524897,0.06993600461729788,20.36280661135533,2443.53679336264,14.2900823299771,0.5778726236827403
2003-04,2013-03,23.2144637306481,2785.735647677772,0.6042632140588258,15.80410087817567,4.207996478859027,504.95957746308324,0.2745396861885152,2.864748529990679,11.111120494071018,1333.334459288522,0.4586956027188245,7.56430435763338,1.4688886074313539,176.26663289176247,0.07581620373257514,20.798089121390607,2495.770694566873,14.15906489856997,0.58211565171987
2003-05,2013-04,22.172116553427536,2660.6539864113042,0.5949861587275156,14.916128873979472,3.9735687151690886,476.82824582029065,0.26380730935525865,2.673189224053249,10.792196404603649,1295.0635685524378,0.4530686414931595,7.260371016743584,1.4864524663705347,178.37429596446418,0.07811419234396211,19.80780733830001,2376.936880596001,13.325557181565754,0.5723381170958688
2003-06,2013-05,21.425492410967752,2571.05908931613,0.5880879174339271,14.170253490405008,4.037384275810494,484.4861130972593,0.266789848023091,2.6702190796382186,10.581974110043584,1269.8368932052301,0.4492725896828622,6.998637543166159,1.5120048787747817,181.4405854529738,0.08140548974992923,19.077213001543328,2289.2655601851993,12.617163654261557,0.5648274739993648
2003-07,2013-06,22.719031499710848,2726.2837799653016,0.5999032334368788,15.318133988566183,3.9211635916130985,470.5396309935718,0.26132224882283417,2.6438146929010293,10.831286180247142,1299.7543416296571,0.45376674791956706,7.302912229319396,1.4831461532239416,177.977538386873,0.07768385841259651,20.135465120380406,2416.255814445649,13.576184030556654,0.5756227885433169
2003-08,2013-07,21.21069152435003,2545.2829829220036,0.586061800466807,13.675813388148747,3.874735353688075,464.968242442569,0.25909286260441666,2.4982758136229344,10.532631611541728,1263.9157933850074,0.44837122095263293,6.791023491157723,1.550963801738542,186.11565620862504,0.08630988074012058,18.753567160790656,2250.4280592948785,12.09155696591305,0.5614140538808936
2003-09,2013-08,20.77397867369025,2492.8774408428303,0.5818828063061385,13.888488542988915,3.8043962828043827,456.5275539365259,0.25566415323791647,2.5434373942838153,10.203228979942956,1224.3874775931547,0.4422489444984552,6.821390885940366,1.4957695799214394,179.49234959057273,0.07932131985051138,18.288333339098028,2194.6000006917634,12.226704958165124,0.5564095602337749
2003-10,2013-09,21.208292402236832,2544.9950882684197,0.5860390628126633,13.81864073026306,3.7621114261168005,451.45337113401604,0.2535724308341927,2.451270719902116,10.384506663119089,1246.1407995742907,0.445641028257862,6.766210311374748,1.5347596638640664,184.17115966368797,0.08428630572271856,18.59114915854615,2230.9378990255377,12.113394426681234,0.5596802588561516
2003-11,2013-10,21.09803542188784,2531.7642506265406,0.584991506747097,13.214129996769305,3.697606190678039,443.7127428813647,0.25033592320482834,2.3158861905117867,10.46007317169803,1255.2087806037634,0.4470384378658767,6.551357218935262,1.5966269006772336,191.59522808126803,0.09189225719793415,18.428938003298754,2211.4725603958505,11.542419832386539,0.5579344749523003
2003-12,2013-11,22.267950676473504,2672.1540811768205,0.595855867211794,13.61943899113143,3.6388436502965664,436.661238035588,0.24733811225106916,2.2255756631363512,10.853531937471104,1302.4238324965324,0.45416296899592634,6.638195773302915,1.635012329874507,196.20147958494084,0.09645402086719712,19.36966175453041,2324.359410543649,11.846798584092085,0.5678656291305557
