date,tickers
2015-01-01,"AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BKNG,BRCM,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTRX,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,DTV,EA,EBAY,EQIX,ESRX,EXPD,FAST,FB,FISV,FOX,FOXA,GILD,GMCR,GOOG,GOOGL,GRMN,HSIC,ILMN,INTC,INTU,ISRG,KLAC,KRFT,LBTYA,LBTYK,LLTC,LMCA,LMCK,LRCX,MAR,MAT,MDLZ,MNST,MSFT,MU,MYL,NFLX,NLOK,NTAP,NVDA,NXPI,ORLY,PAYX,PCAR,QCOM,QRTEA,REGN,ROST,SBAC,SBUX,SIAL,SIRI,SNDK,SPLS,SRCL,STX,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WDC,WFM,WYNN,XLNX,YHOO"
2015-03-23,"AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BKNG,BRCM,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTRX,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,DTV,EA,EBAY,ESRX,EXPD,FAST,FB,FISV,FOX,FOXA,GILD,GMCR,GOOG,GOOGL,GRMN,HSIC,ILMN,INTC,INTU,ISRG,KLAC,KRFT,LBTYA,LBTYK,LLTC,LMCA,LMCK,LRCX,MAR,MAT,MDLZ,MNST,MSFT,MU,MYL,NFLX,NLOK,NTAP,NVDA,NXPI,ORLY,PAYX,PCAR,QCOM,QRTEA,REGN,ROST,SBAC,SBUX,SIAL,SIRI,SNDK,SPLS,SRCL,STX,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WBA,WDC,WFM,WYNN,XLNX,YHOO"
2015-07-02,"AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BKNG,BRCM,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTRX,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,DTV,EA,EBAY,ESRX,EXPD,FAST,FB,FISV,FOX,FOXA,GILD,GMCR,GOOG,GOOGL,GRMN,HSIC,ILMN,INTC,INTU,ISRG,KHC,KLAC,LBTYA,LBTYK,LILA,LILAK,LLTC,LMCA,LMCK,LRCX,MAR,MAT,MDLZ,MNST,MSFT,MU,MYL,NFLX,NLOK,NTAP,NVDA,NXPI,ORLY,PAYX,PCAR,QCOM,QRTEA,REGN,ROST,SBAC,SBUX,SIAL,SIRI,SNDK,SPLS,SRCL,STX,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WBA,WDC,WFM,WYNN,XLNX,YHOO"
2015-07-27,"AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BKNG,BMRN,BRCM,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTRX,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ESRX,EXPD,FAST,FB,FISV,FOX,FOXA,GILD,GMCR,GOOG,GOOGL,GRMN,HSIC,ILMN,INTC,INTU,ISRG,KHC,KLAC,LBTYA,LBTYK,LILA,LILAK,LLTC,LMCA,LMCK,LRCX,MAR,MAT,MDLZ,MNST,MSFT,MU,MYL,NFLX,NLOK,NTAP,NVDA,NXPI,ORLY,PAYX,PCAR,QCOM,QRTEA,REGN,ROST,SBAC,SBUX,SIAL,SIRI,SNDK,SPLS,SRCL,STX,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WBA,WDC,WFM,WYNN,XLNX,YHOO"
2015-07-29,"AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BKNG,BMRN,BRCM,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ESRX,EXPD,FAST,FB,FISV,FOX,FOXA,GILD,GMCR,GOOG,GOOGL,GRMN,HSIC,ILMN,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,LILA,LILAK,LLTC,LMCA,LMCK,LRCX,MAR,MAT,MDLZ,MNST,MSFT,MU,MYL,NFLX,NLOK,NTAP,NVDA,NXPI,ORLY,PAYX,PCAR,QCOM,QRTEA,REGN,ROST,SBAC,SBUX,SIAL,SIRI,SNDK,SPLS,SRCL,STX,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WBA,WDC,WFM,WYNN,XLNX,YHOO"
2015-08-03,"AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BKNG,BMRN,BRCM,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ESRX,EXPD,FAST,FB,FISV,FOX,FOXA,GILD,GMCR,GOOG,GOOGL,GRMN,HSIC,ILMN,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,LILA,LILAK,LLTC,LMCA,LMCK,LRCX,MAR,MAT,MDLZ,MNST,MSFT,MU,MYL,NFLX,NLOK,NTAP,NVDA,NXPI,ORLY,PAYX,PCAR,QCOM,QRTEA,REGN,ROST,SBAC,SBUX,SIRI,SNDK,SPLS,SRCL,STX,SWKS,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WBA,WDC,WFM,WYNN,XLNX,YHOO"
2015-10-07,"AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BKNG,BMRN,BRCM,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ESRX,EXPD,FAST,FB,FISV,FOX,FOXA,GILD,GMCR,GOOG,GOOGL,GRMN,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,LILA,LILAK,LLTC,LMCA,LMCK,LRCX,MAR,MAT,MDLZ,MNST,MSFT,MU,MYL,NFLX,NLOK,NTAP,NVDA,NXPI,ORLY,PAYX,PCAR,QCOM,QRTEA,REGN,ROST,SBAC,SBUX,SIRI,SNDK,SPLS,SRCL,STX,SWKS,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WBA,WDC,WFM,WYNN,XLNX,YHOO"
2015-11-11,"AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BKNG,BMRN,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ESRX,EXPD,FAST,FB,FISV,FOX,FOXA,GILD,GMCR,GOOG,GOOGL,GRMN,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,LILA,LILAK,LLTC,LMCA,LMCK,LRCX,MAR,MAT,MDLZ,MNST,MSFT,MU,MYL,NFLX,NLOK,NTAP,NVDA,NXPI,ORLY,PAYX,PCAR,PYPL,QCOM,QRTEA,REGN,ROST,SBAC,SBUX,SIRI,SNDK,SPLS,SRCL,STX,SWKS,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WBA,WDC,WFM,WYNN,XLNX,YHOO"
2015-12-21,"AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BKNG,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ENDP,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,LLTC,LMCA,LMCK,LRCX,MAR,MAT,MDLZ,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NLOK,NTAP,NVDA,NXPI,ORLY,PAYX,PCAR,PYPL,QCOM,QRTEA,REGN,ROST,SBAC,SBUX,SIRI,SNDK,SRCL,STX,SWKS,TMUS,TRIP,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,VRTX,WBA,WDC,WFM,XLNX,YHOO"
2016-01-01,"AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BKNG,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ENDP,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,LLTC,LMCA,LMCK,LRCX,MAR,MAT,MDLZ,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NLOK,NTAP,NVDA,NXPI,ORLY,PAYX,PCAR,PYPL,QCOM,QRTEA,REGN,ROST,SBAC,SBUX,SIRI,SNDK,SRCL,STX,SWKS,TMUS,TRIP,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,VRTX,WBA,WDC,WFM,XLNX,YHOO"
