year,ret_pct
2003,15.5
2004,48.9
2005,33.6
2006,39.0
2007,44.0
2008,-4.6
2009,147.6
2010,40.2
2011,-2.7
2012,64.6
2013,67.0
2014,5.1
2015,-5.4
2016,31.9
2017,71.8
2018,-23.0
2019,16.5
2020,4.1
2021,4.0
2022,14.7
2023,-10.0
2024,38.6
