tag,signal,target,ic,t,nwin,nobs,lo,hi,ir
P2_2ndmove,S1,R,0.14169080919080917,1.9994542125540649,20,184,0.008963744588744578,0.274724025974026,0.9131801145644945
P2_2ndmove,S1,T1,0.07877749062531672,0.9972427513989635,20,184,-0.0641819846819847,0.24735900603020178,0.5077113916221209
P2_2ndmove,S1,T1_raw,0.11067027175722825,1.4253569466785547,20,184,-0.03148740480533958,0.26401723638680147,0.7132565056217129
P2_2ndmove,S1,pnl_exp_mid,0.169621103534147,2.494467822267025,20,184,0.03897104525908873,0.3027881267283441,1.093187480842728
P2_2ndmove,S1,pnl_exp_worst,0.1528352082699909,2.308935927523233,20,184,0.02782254701819921,0.27797753152644433,0.9850044176791367
P2_2ndmove,S2,R,0.04027410994802301,0.515088481553093,20,184,-0.10676860367892979,0.1978815025554154,0.2595617637188587
P2_2ndmove,S2,T1,0.4976852133373873,7.914073452541314,20,184,0.37041767924104885,0.614519698598503,3.2075209586845244
P2_2ndmove,S2,T1_raw,0.39303917097395363,5.528580287763018,20,184,0.2561968837322098,0.5262257000246131,2.533089882315459
P2_2ndmove,S2,pnl_exp_mid,0.025634908569691185,0.3232900733306669,20,184,-0.12933358308358314,0.17369431655301212,0.16521388280729354
P2_2ndmove,S2,pnl_exp_worst,0.010742445959837272,0.1350670796437864,20,184,-0.14194222806179327,0.16017979936729923,0.06923376391404931
P2_2ndmove,S3,R,0.39490853349549004,6.751687649263049,20,184,0.2803247821019561,0.5029425782550783,2.5451376974936495
P2_2ndmove,S3,T1,0.26749069770808903,3.074698093057344,20,184,0.09812537643515903,0.4345014369688276,1.7239451688716434
P2_2ndmove,S3,T1_raw,0.32907777005603095,4.257410228753479,20,184,0.17781442923019014,0.4817132387539996,2.120866395474628
P2_2ndmove,S3,pnl_exp_mid,-0.062145825189303415,-0.5907923282082533,20,184,-0.2603035714285714,0.14178024873677028,-0.40052232103248003
P2_2ndmove,S3,pnl_exp_worst,-0.07699572166963471,-0.7320573078651672,20,184,-0.2714314544151501,0.12600113925929116,-0.4962281063732799
P2_2ndmove,S2raw,R,0.04139092791266704,0.5412131895321831,20,184,-0.10214737798433453,0.19656411885216218,0.2667595203180741
P2_2ndmove,S2raw,T1,0.350955710955711,4.600186666260271,20,184,0.19136430236430235,0.48668485680985685,2.261867076403063
P2_2ndmove,S2raw,T1_raw,0.4160485890920674,6.003498715792752,20,184,0.28903746796681584,0.5533080379765162,2.681382796959385
P2_2ndmove,S2raw,pnl_exp_mid,0.12405254166123732,1.7815906293251655,20,184,-0.008910493492015241,0.25952850319969867,0.7995036153239325
P2_2ndmove,S2raw,pnl_exp_worst,0.11341296384774646,1.6227539474687598,20,184,-0.017924231565535922,0.251186415034241,0.7309328241616243
