tag,signal,pnl,mean,t,sharpe,nwin
EARNINGS,S1,pnl_exp_worst,-0.018864374913624443,-0.19106329967367522,-0.0779568126942836,51
EARNINGS,S1,pnl_exp_mid,-0.017069420055575796,-0.17463893809465827,-0.07125541644798492,51
EARNINGS,S1,pnl_rt_worst,0.015359810834129095,0.260403477169753,0.10624868893887089,10
EARNINGS,S2,pnl_exp_worst,-0.017196379401009872,-0.1857063187796791,-0.07577108075689235,51
EARNINGS,S2,pnl_exp_mid,-0.011078701754089638,-0.11915443990003421,-0.048616873930493895,51
EARNINGS,S2,pnl_rt_worst,0.012561306634555972,0.13363872327224802,0.05452668794389738,10
EARNINGS,S3,pnl_exp_worst,-0.10697502721266698,-1.0437431417368819,-0.42586351612421136,51
EARNINGS,S3,pnl_exp_mid,-0.11959735250916005,-1.1682738229092726,-0.4766739805275181,51
EARNINGS,S3,pnl_rt_worst,0.18194524690531605,4.715161475289011,1.923859582558296,10
EARNINGS,S2raw,pnl_exp_worst,-0.06056455421357313,-0.6583935747375907,-0.2686348695568453,51
EARNINGS,S2raw,pnl_exp_mid,-0.04900599803707133,-0.5361710248655627,-0.21876615880148398,51
EARNINGS,S2raw,pnl_rt_worst,-0.024191269686164973,-0.24593911017067396,-0.10034700111701057,10
