year,ensemble_edge_pp,single_edge_pp,delta_pp
2004,31.165056863599403,43.57041389651144,-12.405357032912036
2005,31.230320167905766,22.517387590238823,8.712932577666944
2006,22.062690206450817,38.24387435092211,-16.181184144471295
2007,20.826719218968172,20.705963449339972,0.12075576962820023
2008,-3.98614443808318,-48.204850255246754,44.218705817163574
2009,272.78618753648834,176.14340678738358,96.64278074910476
2010,51.375380622389685,42.10659978395701,9.268780838432676
2011,0.38681925317385346,-12.060468542475665,12.447287795649519
2012,29.561278529243154,67.88137919434534,-38.32010066510219
2013,54.593940800735595,19.990677246774574,34.60326355396102
2014,5.855513575316818,-4.2836808925513115,10.13919446786813
2015,15.022358518605273,11.544946065281913,3.4774124533233604
2016,42.475451506752066,55.2516610746799,-12.776209567927836
2017,5.668001770531664,-3.4762364091535964,9.14423817968526
2018,-11.543282331477279,-2.6765218108743776,-8.866760520602902
2019,11.374239695184386,20.18959856850835,-8.815358873323966
2020,-9.174279239606719,25.712818147076,-34.88709738668272
2021,17.822581569541214,63.38345339000337,-45.560871820462154
2022,-38.53103013460025,-39.196159846305434,0.665129711705184
2023,101.30796416946436,152.44950008477966,-51.1415359153153
2024,-5.772798394223333,-14.756441902352481,8.983643508129148
2025,1.7109929651314886,8.61157109623485,-6.900578131103362
