variant,year,n_months,strat_ret_pct,spy_ret_pct,edge_pp
baseline,2003,4,11.209817724562487,10.641753408477195,0.5680643160852927
baseline,2004,12,41.99233916140541,10.697901694583356,31.294437466822057
baseline,2005,12,49.609178042537664,4.828270027745751,44.78090801479191
baseline,2006,12,32.09066378675214,15.845248842761016,16.245414943991122
baseline,2007,12,20.481425953850163,5.14622542062535,15.335200533224814
baseline,2008,12,1.0005101771942249,-36.79497208112278,37.795482258317
baseline,2009,12,383.94779585012355,26.351693261924545,357.59610258819896
baseline,2010,12,43.84710834600825,15.056170358074228,28.79093798793402
baseline,2011,12,33.64530136292983,1.8949508746777477,31.750350488252078
baseline,2012,12,6.927362818667904,15.990369360273803,-9.063006541605901
baseline,2013,12,96.36360849994794,32.307782990064624,64.0558255098833
baseline,2014,12,13.515666225921352,14.34687013535565,-0.8312039094342971
baseline,2015,12,10.101315789378717,1.2342672077436,8.867048581635117
baseline,2016,12,38.30236246657213,11.997907724709055,26.30445474186307
baseline,2017,12,16.197445130034225,21.705424517878,-5.5079793878437755
baseline,2018,12,19.267046404317178,-4.569001297783625,23.836047702100803
baseline,2019,12,80.81244207822726,31.223845466663256,49.58859661156401
baseline,2020,12,107.96938189076863,18.331634381392135,89.6377475093765
baseline,2021,12,107.8543874165458,28.728770997528088,79.12561641901772
baseline,2022,12,-21.148841780930194,-18.175373553165997,-2.9734682277641977
baseline,2023,12,157.61432640409626,26.17579280754527,131.43853359655097
baseline,2024,12,-10.485022573076952,24.886459603923306,-35.37148217700026
baseline,2025,12,23.285112320128132,17.719061307023452,5.566051013104678
baseline,2026,4,0.0,5.67553940227683,-5.67553940227683
concentration_overlay,2003,4,11.209817724562487,10.641753408477195,0.5680643160852927
concentration_overlay,2004,12,38.03952096765786,10.697901694583356,27.341619273074503
concentration_overlay,2005,12,48.83618159345544,4.828270027745751,44.00791156570969
concentration_overlay,2006,12,31.76643978346201,15.845248842761016,15.921190940700992
concentration_overlay,2007,12,18.842065551010023,5.14622542062535,13.695840130384674
concentration_overlay,2008,12,1.0005101771942249,-36.79497208112278,37.795482258317
concentration_overlay,2009,12,379.4577102399881,26.351693261924545,353.10601697806356
concentration_overlay,2010,12,41.6491587569896,15.056170358074228,26.592988398915374
