date,regime,sleeve_w,dd_52w,rvol60,ret_m,equity
2003-01-31,normal,0.7503390606594463,0.25777193420602074,0.2136811593504153,0.0,1.0
2003-02-28,normal,0.7503390606594463,0.25777193420602074,0.2136811593504153,0.0,1.0
2003-03-31,normal,0.756520203248111,0.26777636994309095,0.20485564833347455,0.0,1.0
2003-04-30,recovery,0.7272285738415669,0.23866036418035375,0.2192380275710363,0.0,1.0
2003-05-30,recovery,0.6029654350146918,0.1571162218522325,0.21729110223634307,0.021577824310093214,1.0215778243100933
2003-06-30,recovery,0.44745986374173546,0.06066791027994156,0.20645799832182313,0.011464755339020949,1.033289964125578
2003-07-31,recovery,0.36446258790742836,0.03617277089781146,0.16020343156071115,0.009021532201582751,1.0426118228105092
2003-08-29,recovery,0.3316108913757483,0.018797238573363573,0.1534150335157029,0.012510724799635749,1.055655652398538
2003-09-30,recovery,0.3,0.0,0.1433599659274392,0.0051569360774658185,1.061099601117773
2003-10-31,recovery,0.34198198214269443,0.040787186470544246,0.13080120243687807,0.08319244678965189,1.149375073222284
2003-11-28,recovery,0.26699650007409864,0.0010431576058645975,0.11543176366530174,0.0498877865003521,1.206714851484024
2003-12-31,recovery,0.3,0.0,0.11963402816100398,0.06870875744838413,1.289626729524003
2004-01-30,bull,0.3,0.0,0.09715173450325408,-0.016904600666181942,1.2678261046529655
2004-02-27,bull,0.28107756536072254,0.02062679082312957,0.1001373791260282,0.02554491545895132,1.3002126153129772
2004-03-31,bull,0.2564285924140842,0.009899912558786417,0.09157872357590462,0.06860622478953944,1.3894152942733342
2004-04-30,bull,0.3054743885286906,0.024776334904593522,0.11830988617180033,-0.059593769490265944,1.3066147995001591
2004-05-31,bull,0.33819146825827867,0.043229606454117,0.12334705857710317,0.011135365428109688,1.3211644327663696
2004-06-30,bull,0.3224280694341316,0.026845539487419634,0.13215976020300216,0.05973547080186129,1.4000848121643428
2004-07-30,normal,0.27871837712462294,0.008841030138371564,0.11545683191706561,-0.053399488348839654,1.3253209995497857
2004-08-31,normal,0.31647741300151266,0.04077514189240572,0.10531470016290412,0.003400692079283901,1.3298280081754632
2004-09-30,normal,0.31812993844565085,0.038438497160176666,0.11047219270538584,0.07064258689903453,1.4237704988037685
2004-10-29,normal,0.30152975448653596,0.028786850793481644,0.10834947829631353,0.10482645379290108,1.5730193112083175
