cost_bps,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,n_years_positive,n_years_total
5,37.92329399156582,11.458029424329009,26.46526456723681,1.396301758642101,-24.425345020451868,34.25458065421549,-6.204170089881611,22,24
10,37.75363253238893,11.458029424329009,26.295603108059918,1.3913339706583305,-24.445448783879282,34.22695604949985,-6.305658867922716,22,24
20,37.414821177244974,11.458029424329009,25.956791752915965,1.381388119625617,-24.48564834395389,34.1719568850861,-6.5084342033226115,22,24
30,37.07669099287059,11.458029424329009,25.61866156854158,1.3714288132870538,-24.525837281654944,34.11728960544758,-6.710940128570808,22,24
50,36.40246975766988,11.458029424329009,24.944440333340868,1.351471014889803,-24.60618328993636,34.008943471511216,-7.115144791513494,21,24
75,35.56350532272514,11.458029424329009,24.105475898396133,1.3264533548818291,-24.706556049436806,33.87534551105382,-7.618889829512156,21,24
100,34.728760671652495,11.458029424329009,23.270731247323486,1.3013618182034858,-24.80686241910246,33.74375990818913,-8.120960004782685,21,24
150,33.07186286125794,11.458029424329009,21.61383343692893,1.250975966295601,-25.00727598892942,33.48651403009257,-9.120091994660196,21,24
