crisis,freq,universe,cagr,spy_cagr,edge,sharpe,mdd
2020 COVID Feb-Apr,D,unleveraged_12,188.52875647406046,-36.32599047172437,224.85474694578483,3.2851617443858925,-10.113890295138882
2020 COVID Feb-Apr,D,pure_3x_leveraged,-56.463178122804294,-36.32599047172437,-20.137187651079927,-0.19462878242706963,-51.35605642170137
2020 COVID Feb-Apr,W,unleveraged_12,-14.060522416322508,-40.741382808376095,26.68086039205359,-0.3273309769744062,-21.375726092952767
2020 COVID Feb-Apr,W,pure_3x_leveraged,-98.69907452818323,-40.741382808376095,-57.95769171980714,-1.9977665405383045,-72.64557635453426
2020 COVID Feb-Apr,2W,unleveraged_12,-2.4664009078916527,-40.741382808376095,38.27498190048444,0.07841474209219193,-21.375726092952767
2020 COVID Feb-Apr,2W,pure_3x_leveraged,-96.69385704513816,-40.741382808376095,-55.952474236762065,-1.1819774996406855,-72.61819454908334
2020 COVID Feb-Apr,ME,unleveraged_12,-9.21513975235817,-36.32599047172437,27.110850719366198,-0.15711278925430763,-21.37572609295279
2020 COVID Feb-Apr,ME,pure_3x_leveraged,-95.94997896789,-36.32599047172437,-59.62398849616564,-0.9925567588487332,-75.49882563937425
2020 COVID Feb-Apr,2ME,unleveraged_12,-66.22086823105712,-74.65095032911297,8.430082098055848,-1.13045175774883,-33.10069386541375
2020 COVID Feb-Apr,2ME,pure_3x_leveraged,-99.2402219589713,-74.65095032911297,-24.58927162985833,-1.2326197603062825,-75.49882563937425
2020 COVID Feb-Apr,QE,unleveraged_12,-97.41387476508308,-97.72786296753853,0.3139882024554481,0.0,0.0
2020 COVID Feb-Apr,QE,pure_3x_leveraged,0.0,-97.72786296753853,97.72786296753853,0.0,0.0
2020 full year,D,unleveraged_12,80.15527858868823,17.26278063959863,62.8924979490896,2.7170504638355006,-10.113890295138882
2020 full year,D,pure_3x_leveraged,169.1768080106698,17.26278063959863,151.91402737107114,1.5893091122447842,-51.35605642170137
2020 full year,W,unleveraged_12,26.469909877683605,18.326085085541788,8.143824792141817,1.1929592843270012,-21.375726092952767
2020 full year,W,pure_3x_leveraged,17.4504903689912,18.326085085541788,-0.8755947165505873,0.6935865106448361,-72.64557635453426
2020 full year,2W,unleveraged_12,27.13615577414994,18.738074836242614,8.398080937907327,1.2025903600961878,-21.375726092952767
2020 full year,2W,pure_3x_leveraged,26.785523594725348,18.738074836242614,8.047448758482734,0.7797672557804627,-72.61819454908334
2020 full year,ME,unleveraged_12,20.6803553404286,17.26278063959863,3.41757470082997,0.9767394703700166,-21.37572609295279
2020 full year,ME,pure_3x_leveraged,37.54292778756376,17.26278063959863,20.28014714796513,0.8629689920343335,-75.49882563937425
2020 full year,2ME,unleveraged_12,9.933275612087101,14.227876013281481,-4.29460040119438,0.44447498553963083,-33.10069386541375
2020 full year,2ME,pure_3x_leveraged,-1.6104998626364608,14.227876013281481,-15.838375875917942,0.568453511777223,-75.49882563937425
2020 full year,QE,unleveraged_12,44.88821855965253,60.826717866172906,-15.938499306520377,2.404424558080483,-9.110168945389807
2020 full year,QE,pure_3x_leveraged,191.916487371447,60.826717866172906,131.0897695052741,2.112604623326502,-32.59023311816163
2022 bear,D,unleveraged_12,35.48929798091596,-12.726237054465873,48.21553503538183,1.3889575287632119,-16.925874069116023
2022 bear,D,pure_3x_leveraged,9.009858228362733,-12.726237054465873,21.736095282828607,0.4222530827420374,-25.363169667373874
2022 bear,W,unleveraged_12,11.116119016049474,-14.509881931343305,25.62600094739278,0.555734359640965,-16.925874069115995
2022 bear,W,pure_3x_leveraged,-31.289305892162822,-14.509881931343305,-16.779423960819518,-0.8977677078097857,-32.978299882708775
2022 bear,2W,unleveraged_12,13.553667300927863,-14.509881931343305,28.063549232271168,0.6539565761132291,-16.925874069115974
2022 bear,2W,pure_3x_leveraged,-31.698414701189513,-14.509881931343305,-17.18853276984621,-0.8751082844372606,-33.342609246074694
2022 bear,ME,unleveraged_12,13.435661679457201,-12.726237054465873,26.161898733923074,0.6457261995419669,-16.92587406911597
2022 bear,ME,pure_3x_leveraged,-21.07262783997007,-12.726237054465873,-8.346390785504198,-0.4905556922998371,-30.209691527567408
2022 bear,2ME,unleveraged_12,20.54019717804756,-7.7219908483323385,28.2621880263799,0.888687009317648,-16.92587406911599
2022 bear,2ME,pure_3x_leveraged,-28.814875206758007,-7.7219908483323385,-21.092884358425668,-0.46922951686408615,-45.730842509761885
2022 bear,QE,unleveraged_12,9.025828773604339,-19.6050121186078,28.630840892212138,0.47351281083075686,-14.635410460088124
2022 bear,QE,pure_3x_leveraged,-54.99477971780662,-19.6050121186078,-35.38976759919882,-1.418468266933998,-51.289954310246586
2018 Q4,D,unleveraged_12,-37.00959877573283,-43.089669883750304,6.080071108017471,-1.777809218905634,-15.450897971038469
2018 Q4,D,pure_3x_leveraged,-61.17401225699568,-43.089669883750304,-18.084342373245377,-1.157403857209741,-32.62673450997072
2018 Q4,W,unleveraged_12,-51.997319808479084,-45.492893152202775,-6.5044266562763084,-2.9787732520366976,-19.223989037455322
2018 Q4,W,pure_3x_leveraged,-88.42206559453588,-45.492893152202775,-42.929172442333105,-3.090153390325994,-43.0634104978185
2018 Q4,2W,unleveraged_12,-49.14122223647478,-53.63124245164035,4.490020215165565,-2.6969545872130705,-14.856694660666447
2018 Q4,2W,pure_3x_leveraged,-82.93203917524848,-53.63124245164035,-29.30079672360813,-2.6127471388217747,-34.82196221998786
2018 Q4,ME,unleveraged_12,-50.568428538942214,-43.089669883750304,-7.4787586551919105,-2.3688120192173705,-22.163024678406956
2018 Q4,ME,pure_3x_leveraged,-89.79819065868068,-43.089669883750304,-46.70852077493038,-2.421459078947306,-53.745578995539326
2018 Q4,2ME,unleveraged_12,-39.1743593243587,-25.7758113808337,-13.398547943524996,-1.6446083994773064,-14.161458017296175
2018 Q4,2ME,pure_3x_leveraged,-77.06828158757452,-25.7758113808337,-51.292470206740816,-1.5958647752145276,-34.756718938926795
2018 Q4,QE,unleveraged_12,-49.91385627805997,-43.089669883750304,-6.824186394309663,-2.1701289574805718,-22.230672802769092
2018 Q4,QE,pure_3x_leveraged,-89.72424855876481,-43.089669883750304,-46.63457867501451,-2.412802508240696,-53.658009496434644
