lookback_days,lookback_months,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,n_years_positive,n_years_total
63,3,12.067913954462316,11.458029424329009,0.6098845301333071,0.8167878524511525,-29.421771693914735,12.106026096803918,-23.012707646695517,11,24
126,6,10.59565422439146,11.458029424329009,-0.8623751999375493,0.7353810813408869,-23.16175398835187,16.574322223023035,-24.02616361741212,11,24
189,9,11.218307102481816,11.458029424329009,-0.2397223218471929,0.7457935776122955,-20.19173794517539,18.720654572789105,-27.60746442088604,7,24
252,12,11.972591485631966,11.458029424329009,0.5145620613029571,0.7997610027940492,-24.676451762033732,16.6319723320565,-32.431312822841136,9,24
378,18,10.661321589780947,11.458029424329009,-0.7967078345480623,0.7120248119782028,-30.905491742649826,16.97603462561557,-44.76566436089793,11,24
504,24,9.596263355842737,11.458029424329009,-1.861766068486272,0.6394908392517803,-37.63048538773447,17.058394085612886,-48.158078594288796,12,24
