freq,universe,lookback,cagr,spy_cagr,edge,sharpe,mdd,n_rotations
D,unleveraged_12,6m,36.1861743236896,11.301088887279608,24.88508543640999,1.9349136127483828,-23.410999828080282,1188
D,pure_3x_leveraged,6m,110.02914968978091,13.438376120419381,96.59077356936153,1.6995440809207547,-47.545487150402096,671
W,unleveraged_12,6m,6.164388758088513,11.191900757411188,-5.027511999322676,0.43986314308846713,-30.21404849829589,484
W,pure_3x_leveraged,6m,22.76500613255914,13.39084145215712,9.37416468040202,0.6537586136160285,-71.82594175480828,240
2W,unleveraged_12,6m,8.026664739953326,11.191900757411188,-3.165236017457863,0.5359858807422991,-35.50551918520045,316
2W,pure_3x_leveraged,6m,16.972140428189775,13.39084145215712,3.581298976032654,0.566219293512325,-78.95635035957571,160
ME,unleveraged_12,6m,10.190017495486137,11.301088887279608,-1.1110713917934714,0.6520731450733473,-23.939541565781415,180
ME,pure_3x_leveraged,6m,20.205846054705702,13.438376120419381,6.767469934286321,0.6122836467913938,-75.75956341369952,103
2ME,unleveraged_12,6m,10.060993154209097,10.879450573118877,-0.8184574189097802,0.6130316309762318,-42.17528518613747,99
2ME,pure_3x_leveraged,6m,11.296277861952397,12.829740902529373,-1.5334630405769758,0.4820487840608919,-76.24389094881174,70
QE,unleveraged_12,6m,8.273116981263673,10.814874721515121,-2.541757740251448,0.5224633025079667,-36.59068326641243,80
QE,pure_3x_leveraged,6m,5.366070277997803,12.829740902529373,-7.46367062453157,0.3932300988182687,-81.84371092664696,46
