period,from,to,cagr_A,cagr_B,edge_A,edge_B,sharpe_A,sharpe_B,mdd_A,mdd_B
2003-2009 (GFC era),2003-09-30,2009-12-31,60.16793855116509,49.92504107293012,56.59569374665339,46.352796268418416,1.0087311645756203,1.3782453288700616,-51.246726108821115,-23.60362098698455
2010-2019 (post-GFC bull),2010-01-01,2019-12-31,22.704312950239004,24.773823751370095,9.181176821439376,11.250687622570467,0.9304566090194275,1.409040129726073,-36.56432806114372,-22.812387547467168
2020-2026 (COVID + AI),2020-01-01,2026-04-30,44.22050684942778,42.76796872829707,29.071837749887997,27.61929962875729,0.9473783523784493,1.377299851976759,-34.989127949758426,-15.644582952554147
2013-2017 (mid bull),2013-01-01,2017-12-31,27.62389683963096,28.900033171108362,11.76446017653854,13.040596508015943,1.2084347184002835,1.9122958541454929,-19.401032353233134,-9.733972895141543
2018-2022 (vol regime),2018-01-01,2022-12-31,34.99289990698753,36.29284882054142,25.679714652993525,26.979663566547416,0.7810135373245202,1.1295283423986169,-34.98912794975842,-22.81238754746716
