scheme,cagr,edge,sharpe,mdd,edge_std,edge_min,e2024,avg_sleeve_w
J_dd_linear,33.82983961477224,22.37181019044323,1.1109762481049956,-37.30178344432573,30.796927038040998,-20.249443519625963,-14.161095670961355,0.14591237517108574
J_dd_step,33.38598293956056,21.927953515231554,1.2946191399439313,-27.59077581799998,23.641742135029272,-12.67293897215518,-11.359228058480088,0.3130357142857143
J_dd_combined,33.53924480157302,22.08121537724401,1.2634289697302838,-29.623941591053853,23.966884471213145,-13.200736081064047,-10.86415657087132,0.32046905040878043
K_rvol_step,36.016321198104315,24.558291773775306,1.2629689598276683,-29.826408744461254,29.108500380346214,-14.997441896770514,-9.952558073330842,0.30071428571428577
K_rvol_linear,36.04945624012312,24.59142681579411,1.2544459910966126,-30.579531706462383,29.07028711998273,-13.261328766778192,-10.539671235607551,0.3013924390688366
L_corr_simple,34.95088526104304,23.492855836714032,1.4208307313773896,-28.375751359997032,22.93430895469494,-6.448444617231175,-6.448444617231175,0.5099999999999999
N_stacked,33.7558227270045,22.29779330267549,1.3245611387283265,-28.61035787702198,22.25375554376244,-11.13948039055349,-9.923955495657967,0.3746259199349132
REF_fixed_50,37.839885061393154,26.381855637064145,1.3938539450428935,-24.40523860143108,34.19982285526122,-6.332866625053235,-6.332866625053235,0.5
