variant,cagr,edge,sharpe,mdd,edge_std,edge_min,e2024
"baseline (K=3, no overlay)",41.53298696847354,30.074957544144528,0.9676802885281416,-51.24672610882109,106.08298574827629,-22.277002354715837,-14.756441902352481
trend50_SPY (from prior expt),30.943984923543354,19.485955499214345,1.2363765559130475,-25.503443233770263,34.60514740812912,-11.441853393749613,-7.357442897392531
E_K3_multi_25,36.71975949143225,25.26173006710324,1.0697788771096732,-39.00099227741745,64.53336032623596,-16.93701020487335,-11.024972336452166
E_K3_multi_50,30.943984923543354,19.485955499214345,1.2363765559130475,-25.503443233770263,34.60514740812912,-11.441853393749613,-7.357442897392531
F_K3_sector_25,38.985371307413665,27.527341883084656,1.1059323177176803,-38.67171227571005,68.34703246950328,-13.257629714675234,-11.401152248125392
F_K3_sector_50,35.475490722356625,24.017461298027616,1.3285851802204238,-26.73222850465042,37.938524384577875,-8.124871247879284,-8.124871247879284
G_K3_stock_trend,24.604503896031595,13.146474471702586,1.120635625763414,-33.56936395221873,26.764238676318207,-34.418807687659154,-15.704188345839022
H_K4_multi_25,30.419594485757706,18.961565061428697,1.0193922679566274,-40.92017084494006,47.589143380313956,-12.138750114649245,-12.138750114649245
H_K4_multi_50,26.635275789098856,15.177246364769847,1.1969916862857288,-29.231084601334363,27.39862910356339,-10.857848672475587,-8.208338394200478
H_K4_sector_50,31.07474615884078,19.616716734511773,1.303013769979178,-30.315845288022107,30.214072775999224,-8.95008201791483,-8.95008201791483
I_K3_adaptive,40.292615372440665,28.834585948111656,1.1289330286726011,-37.11036757641493,72.10784988520429,-20.909786902118167,-13.256697015998476
