date,ret_m,equity,regime,cash,picks,weights,n_picks
2003-09-30,-0.024284451956152732,0.9757155480438473,recovery,False,"CSX,GLW,ATI","0.333,0.333,0.333",3
2003-10-31,0.14046904999537652,1.1127733841432845,recovery,False,"CSX,GLW,ATI","0.333,0.333,0.333",3
2003-11-28,0.06443744819024344,1.1844776614314994,recovery,False,"CSX,GLW,ATI","0.333,0.333,0.333",3
2003-12-31,0.19400432073042687,1.414271445557882,recovery,False,"CSX,GLW,ATI","0.333,0.333,0.333",3
2004-01-30,-0.057363885393802355,1.3331433404391726,recovery,False,"CSX,GLW,ATI","0.333,0.333,0.333",3
2004-02-27,0.10822656583599773,1.4774248659420346,recovery,False,"CSX,GLW,ATI","0.333,0.333,0.333",3
2004-03-31,0.01172902359198763,1.4947536170500577,recovery,False,"AAPL,CFC,ATI","0.400,0.282,0.318",3
2004-04-30,-0.09197281560436679,1.3572769182551525,recovery,False,"AAPL,CFC,ATI","0.400,0.282,0.318",3
2004-05-31,0.07549526552367058,1.4597448995879747,recovery,False,"AAPL,CFC,ATI","0.400,0.282,0.318",3
2004-06-30,0.1969467894715652,1.7472369710093185,recovery,False,"AAPL,CFC,ATI","0.400,0.282,0.318",3
2004-07-30,0.02204804939638449,1.785760138053321,normal,False,"AAPL,CFC,ATI","0.400,0.282,0.318",3
2004-08-31,-0.005898745824542653,1.7752263928953442,normal,False,"AAPL,CFC,ATI","0.400,0.282,0.318",3
2004-09-30,0.06192464734375579,1.885156661230716,recovery,False,"AAPL,ATI,NSC","0.400,0.200,0.400",3
2004-10-29,0.18175565434741406,2.2277945437400914,recovery,False,"AAPL,ATI,NSC","0.400,0.200,0.400",3
2004-11-30,0.1792394785989027,2.6271032761855455,recovery,False,"AAPL,ATI,NSC","0.400,0.200,0.400",3
2004-12-31,0.0033983927211971264,2.6360312048371677,recovery,False,"AAPL,ATI,NSC","0.400,0.200,0.400",3
2005-01-31,0.08510088170693413,2.8603597845758024,recovery,False,"AAPL,ATI,NSC","0.400,0.200,0.400",3
2005-02-28,0.08417201167730202,3.1011220217644015,recovery,False,"AAPL,ATI,NSC","0.400,0.200,0.400",3
2005-03-31,-0.06488436221315878,2.899907697237037,recovery,False,"CSX,AAPL,NVDA","0.400,0.376,0.224",3
2005-04-29,-0.0824562150269012,2.6607922845954937,recovery,False,"CSX,AAPL,NVDA","0.400,0.376,0.224",3
2005-05-31,0.10686300187276027,2.945132535487248,recovery,False,"CSX,AAPL,NVDA","0.400,0.376,0.224",3
2005-06-30,-0.02063241857642178,2.884367328252037,recovery,False,"CSX,AAPL,NVDA","0.400,0.376,0.224",3
2005-07-29,0.08946955797411929,3.142430398145738,recovery,False,"CSX,AAPL,NVDA","0.400,0.376,0.224",3
2005-08-31,0.05407055503542495,3.3123433539336697,recovery,False,"CSX,AAPL,NVDA","0.400,0.376,0.224",3
2005-09-30,0.005046222734458779,3.3290581762706233,recovery,False,"CL,VLO,GLW","0.400,0.244,0.356",3
2005-10-31,0.0006064470210999061,3.3310770736846904,recovery,False,"CL,VLO,GLW","0.400,0.244,0.356",3
2005-11-30,-0.006173381432475165,3.3105130643278615,recovery,False,"CL,VLO,GLW","0.400,0.244,0.356",3
2005-12-30,0.009851311711497704,3.343125960449541,recovery,False,"CL,VLO,GLW","0.400,0.244,0.356",3
2006-01-31,0.13858041247058753,3.806417734989768,recovery,False,"CL,VLO,GLW","0.400,0.244,0.356",3
2006-02-28,-0.035695515921210424,3.6705456901276627,recovery,False,"CL,VLO,GLW","0.400,0.244,0.356",3
2006-03-31,0.25914147489921,4.621736313952284,recovery,False,"NVDA,VIAV,ATI","0.400,0.291,0.309",3
2006-04-28,0.0018775753158479444,4.630413971971719,recovery,False,"NVDA,VIAV,ATI","0.400,0.291,0.309",3
2006-05-31,-0.14878648310906667,3.941470961742963,recovery,False,"NVDA,VIAV,ATI","0.400,0.291,0.309",3
2006-06-30,-0.0503007314686808,3.7432120893047274,recovery,False,"NVDA,VIAV,ATI","0.400,0.291,0.309",3
2006-07-31,-0.052795525508007424,3.5455872399619577,recovery,False,"NVDA,VIAV,ATI","0.400,0.291,0.309",3
2006-08-31,0.1120424755711999,3.9428436116809538,recovery,False,"NVDA,VIAV,ATI","0.400,0.291,0.309",3
2006-09-29,0.04999577377644199,4.139969128926444,recovery,False,"NVDA,ATI,CMCSA","0.315,0.285,0.400",3
2006-10-31,0.17291011712375634,4.855811675897852,recovery,False,"NVDA,ATI,CMCSA","0.315,0.285,0.400",3
2006-11-30,0.056647864123111805,5.130883035921533,recovery,False,"NVDA,ATI,CMCSA","0.315,0.285,0.400",3
2006-12-29,0.022363251939306782,5.245626265924963,recovery,False,"NVDA,ATI,CMCSA","0.315,0.285,0.400",3
2007-01-31,0.005347554198741954,5.273677536688341,recovery,False,"NVDA,ATI,CMCSA","0.315,0.285,0.400",3
2007-02-28,-0.0516745996911301,5.001162361079866,recovery,False,"NVDA,ATI,CMCSA","0.315,0.285,0.400",3
2007-03-30,-0.005896005947728509,4.971675478053383,recovery,False,"NVDA,CFC,ATI","0.306,0.309,0.386",3
2007-04-30,0.05408181517871149,5.240552712385998,recovery,False,"NVDA,CFC,ATI","0.306,0.309,0.386",3
2007-05-31,0.03788433345509426,5.439087558831028,recovery,False,"NVDA,CFC,ATI","0.306,0.309,0.386",3
2007-06-29,0.025813944107533023,5.579491861070672,recovery,False,"NVDA,CFC,ATI","0.306,0.309,0.386",3
2007-07-31,0.09754658082365855,6.123752214851548,recovery,False,"NVDA,CFC,ATI","0.306,0.309,0.386",3
2007-08-31,0.002367589285230027,6.138250744980834,recovery,False,"NVDA,CFC,ATI","0.306,0.309,0.386",3
2007-09-28,0.09328146047771718,6.710835739251082,recovery,False,"NVDA,AMZN,CMI","0.360,0.240,0.400",3
2007-10-31,-0.043653600568558486,6.4178835964086085,recovery,False,"NVDA,AMZN,CMI","0.360,0.240,0.400",3
2007-11-30,-0.04464453033566551,6.131360197497974,recovery,False,"NVDA,AMZN,CMI","0.360,0.240,0.400",3
2007-12-31,0.06963859068886055,6.558339480657507,normal,False,"NVDA,AMZN,CMI","0.360,0.240,0.400",3
