variant,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,e2024
baseline,41.53298696847354,11.458029424329009,30.074957544144528,0.9676802885281416,-51.24672610882109,106.08298574827629,-22.277002354715837,-14.756441902352481
A_corr_top10,23.92368935749003,11.458029424329009,12.465659933161021,0.7874787320572753,-40.12502847681883,29.78149683402447,-22.277002354715837,1.5673891763321883
A_corr_top15,19.278556420280445,11.458029424329009,7.820526995951436,0.6345004257259981,-56.83645069890913,24.405347707361255,-20.925177483939894,-2.118414009251147
A_corr_top20,22.747897927649507,11.458029424329009,11.289868503320498,0.7749288441704651,-56.333811968835676,23.500908680856213,-16.111376981776225,-5.781759038230838
B_vix_25_50,41.506650235799825,11.458029424329009,30.048620811470816,0.9893933802573562,-51.345029318410575,93.50836213839506,-22.277002354715837,-14.756441902352481
B_vix_30_50,41.6048940300191,11.458029424329009,30.146864605690094,0.9774010741249152,-51.24672610882109,98.27064436292953,-22.277002354715837,-14.756441902352481
B_vix_30_100,41.48863526490081,11.458029424329009,30.0306058405718,0.9799489893982918,-51.24672610882109,89.4847017178778,-22.277002354715837,-14.756441902352481
C_trend_10pct,40.37169918208714,11.458029424329009,28.913669757758132,1.012000634975614,-46.936633698455,91.13213089050438,-19.64970612641711,-12.47543425765414
C_trend_25pct,38.347305439975685,11.458029424329009,26.889276015646676,1.0974249629433726,-40.09086021564999,70.516279722173,-15.608736508591814,-9.044169869175024
C_trend_50pct,34.23242277628029,11.458029424329009,22.77439335195128,1.3280988128670983,-27.644300741949134,41.20491632145534,-8.602489941129743,-3.30638729890682
