variant,kind,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,n_years_positive,n_years_total
drop_XLE,drop_one_out,36.575250016230584,11.458029424329009,25.117220591901575,1.3646301157572929,-26.805697665582723,34.32436365942984,-6.305658867922716,22,24
drop_XLF,drop_one_out,37.52901829797261,11.458029424329009,26.070988873643604,1.3849237062474513,-24.445448783879268,34.36760952457665,-9.547573476399542,22,24
drop_XLK,drop_one_out,36.374104360070625,11.458029424329009,24.916074935741616,1.3537245367833401,-24.15446657437209,33.335598678762416,-7.230713289014659,22,24
drop_XLU,drop_one_out,37.82272074083883,11.458029424329009,26.364691316509823,1.3880428354174834,-23.60362098698455,34.240979840596516,-6.434996995363761,22,24
drop_XLV,drop_one_out,37.9198672892711,11.458029424329009,26.461837864942094,1.4008121436652954,-23.60362098698456,34.16403947003832,-6.305658867922716,22,24
drop_XLP,drop_one_out,37.90024790552407,11.458029424329009,26.44221848119506,1.3958466543702477,-24.445448783879268,34.23507828280383,-6.305658867922716,22,24
drop_XLY,drop_one_out,37.38415782606233,11.458029424329009,25.92612840173332,1.3834918137305705,-24.514285092043043,34.25949394271143,-9.172413929856127,22,24
drop_XLI,drop_one_out,37.32394366656449,11.458029424329009,25.86591424223548,1.3805643590173016,-24.445448783879275,34.336441236540395,-6.305658867922716,22,24
drop_XLB,drop_one_out,37.45502932470175,11.458029424329009,25.99699990037274,1.3854911936786392,-24.445448783879282,33.73962045809555,-6.305658867922716,21,24
drop_TLT,drop_one_out,36.55719841760403,11.458029424329009,25.09916899327502,1.341210080809917,-26.705979202118346,38.30738297415894,-6.305658867922716,22,24
drop_EFA,drop_one_out,37.59767279965176,11.458029424329009,26.139643375322752,1.3864523396679962,-24.44544878387927,34.30051091928108,-6.305658867922716,21,24
drop_EEM,drop_one_out,37.09479680918941,11.458029424329009,25.636767384860402,1.3826500329048108,-24.445448783879282,33.9159035651738,-6.613591463801349,22,24
sectors_only,subset,35.78548386723075,11.458029424329009,24.327454442901743,1.3270308560449593,-26.705979202118346,37.819106415973465,-6.305658867922716,21,24
sectors+TLT,subset,36.87458350504627,11.458029424329009,25.41655408071726,1.3762961838233685,-24.44544878387926,33.93860827761999,-6.305658867922716,21,24
no_sectors,subset,29.741425535757227,11.458029424329009,18.283396111428218,1.2096854811233266,-30.94546220969132,32.72363801656383,-15.765583355151815,19,24
only_intl,subset,27.520241227071708,11.458029424329009,16.0622118027427,1.103155723172524,-33.28084679754867,36.80303631964734,-15.765583355151815,20,24
only_bond,subset,24.8924571790041,11.458029424329009,13.434427754675092,1.0966664233049572,-25.4671439579674,32.599684570816294,-19.995980538995163,17,24
default,subset,37.75363253238893,11.458029424329009,26.295603108059918,1.3913339706583305,-24.445448783879282,34.22695604949985,-6.305658867922716,22,24
