k,cagr_lump_sum_pct,cagr_dca_pct,edge_lump_sum_pp,wf_mean_pct,wf_min_pct,wf_max_pct,wf_mean_edge_pp,wf_n_beat_spy,wf_n_positive,sharpe,max_dd_pct,y2014_edge_pp,y2018_edge_pp,y2024_edge_pp,y2025_edge_pp
1,28.758339040288526,26.311685090565405,17.667670997091676,24.747737969193455,-4.367946205068796,54.452442561768464,12.356910696055706,8,9,0.6253583409004209,-80.40337938030949,-33.246065709533724,-26.404488079580812,2.928659879021933,-28.449266044709333
2,44.2666818055458,43.99912407254569,33.17601376234896,48.63838547972743,17.536740020476316,73.70350267844901,36.24755820658969,10,10,0.9193707412004805,-69.48217163210076,-4.080386797341551,-6.100701248640206,-3.025533307352224,-19.569681086194034
3,43.7938720301968,44.04015016383569,32.70320398699995,46.55462856649885,20.365992163187553,99.91200649306917,34.1638012933611,10,10,0.998815058879692,-51.365967141855876,-0.9459306824967317,-4.247387765888188,-14.75644190235248,8.611571096234849
4,34.96999200814055,35.480202521706495,23.8793239649437,38.44361025883963,14.45544091973796,84.85690399260535,26.052782985701874,10,10,0.9316476777171958,-56.28665078819621,0.6258681561772228,-2.7629427750841873,-16.03225273501998,3.5198552444396958
5,30.21691440477472,30.307605459886776,19.12624636157787,31.909531351580085,14.90487802229492,52.08097997483332,19.518704078442333,10,10,0.8775338933438486,-62.1350248407767,3.8727069656311786,-2.6041792505082317,-16.083872648676724,-2.1150745071792265
