variant,mode,desc,cagr_pct,spy_cagr_pct,edge_pp,sharpe,max_dd_pct,n_rebs,n_swaps,avg_hold_m,year_edge_std_pp,year_edge_min_pp,y2024_edge_pp,y2025_edge_pp
V1_overlap_2,overlap_2,Reb when new top-3 overlap with held < 2,17.733414950372705,11.458029424329009,6.275385526043696,0.6236311789217082,-87.1248685827793,47,0,5.957446808510638,71.5878392134477,-48.204850255246754,-30.20087382656761,-13.860377990186555
V1_overlap_1,overlap_1,Reb when new top-3 overlap with held < 1,26.681653929324114,11.458029424329009,15.223624504995104,0.74159256145838,-57.21675136017142,37,0,7.5675675675675675,71.58544942581568,-38.13566956170804,-25.308533844128313,-7.014963175992261
V2_disp_005,dispersion_0.05,"H=6 schedule, skip if score std < 0.05",30.160465247694734,11.458029424329009,18.702435823365725,0.8070372809637871,-51.24672610882109,34,0,8.235294117647058,76.49444611962718,-27.761828652084244,-2.652246332613519,14.795287121637045
V2_disp_010,dispersion_0.10,"H=6 schedule, skip if score std < 0.10",29.77278020530971,11.458029424329009,18.314750780980702,0.8288781022233357,-49.43940895974161,28,0,10.0,77.59376326337585,-18.67080412358636,-2.652246332613519,14.795287121637045
V3_regime_hold,regime_hold,"Bull H=9, Recovery H=6, Normal H=3",17.369770822686647,11.458029424329009,5.911741398357638,0.5863846144529282,-72.36051019160732,51,0,5.490196078431373,72.8027130126877,-49.876371143773824,-22.406390117876107,-2.505943545747023
V4_conv_80,conviction_0.80,"H=6 sched, skip rebalance if avg held-rank > 80%",29.177839975822884,11.458029424329009,17.719810551493875,0.8288603460957,-54.154555067334265,44,0,6.363636363636363,71.6877284653638,-35.97918151416827,-25.308533844128313,8.61157109623485
V4_conv_70,conviction_0.70,"H=6 sched, skip rebalance if avg held-rank > 70%",24.91425891754766,11.458029424329009,13.45622949321865,0.7431950064563255,-69.04651166715936,42,0,6.666666666666667,70.34480826686158,-35.97918151416827,-15.48215125837913,-13.860377990186555
V5_kelly,kelly,"H=6 schedule, Kelly-weighted (score/vol²)",29.49664803243026,11.458029424329009,18.038618608101253,0.8346864373574439,-54.15455506733428,48,0,5.833333333333333,70.09637449786513,-35.97918151416827,6.794537741465589,61.64610160379986
V6_opp_005,opp_swap_0.05,Monthly swap if best_unheld - worst_held > 0.05,27.133531061977845,11.458029424329009,15.675501637648836,0.7665019824308734,-68.78943820161834,28,55,10.0,69.38836894084653,-34.09398522149526,-13.251488507970977,-2.814168471408605
V6_opp_010,opp_swap_0.10,Monthly swap if best_unheld - worst_held > 0.10,26.71158636439186,11.458029424329009,15.25355694006285,0.7584473766490429,-68.78943820161835,28,28,10.0,68.05058215664452,-26.107244093305304,0.42368514273345426,2.9075342608438035
