variant,universe_label,n_assets,top_n,lookback_months,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,n_years_positive,n_years_total,n_rotations
REFERENCE_unleveraged_top3_lb6m,REFERENCE_unleveraged,12,3,6,35.926945663851214,14.35112237667977,21.575823287171445,2.61011085006649,-11.001115718602122,11.778985755388604,6.9214817732998775,17,17,145
REFERENCE_unleveraged_top2_lb6m,REFERENCE_unleveraged,12,2,6,40.99273868860149,14.35112237667977,26.641616311921723,2.593420637703884,-10.984449051935451,14.936028941021299,7.568913129706111,17,17,122
2x_only_SSO_top3_lb6m,2x_only_SSO,13,3,6,41.11466579478422,14.35112237667977,26.763543418104454,2.561441167039336,-11.001115718602115,11.100995839538523,12.574399488210176,17,17,145
2x_only_SSO_top2_lb6m,2x_only_SSO,13,2,6,43.106808004701925,14.35112237667977,28.755685628022157,2.321139145682809,-11.302917889664151,15.1031071935418,7.786764208027996,17,17,119
mixed_swap_3_top2_lb6m,mixed_swap_3,13,2,6,82.89633191451362,14.35112237667977,68.54520953783386,2.185529747993368,-25.9022332036852,28.28809731489696,14.004575391611553,17,17,104
mixed_swap_3_top3_lb6m,mixed_swap_3,13,3,6,71.70942341815369,14.35112237667977,57.35830104147392,2.1689850058620586,-23.733511650898496,23.81158353814962,14.126289036082618,17,17,114
mixed_swap_5_top2_lb6m,mixed_swap_5,15,2,6,120.61731682989603,14.35112237667977,106.26619445321626,2.0547425783646815,-32.42861923592527,36.30100545652856,48.63880244923586,17,17,107
pure_leveraged_full_top3_lb6m,pure_leveraged_full,10,3,6,119.47399566883834,14.35112237667977,105.12287329215857,1.9860839367319094,-27.285015282781355,52.375499799819714,21.245108719131835,17,17,116
mixed_swap_5_top3_lb6m,mixed_swap_5,15,3,6,97.74635642264049,14.35112237667977,83.39523404596072,1.9846975802789215,-31.32180874356284,27.148906591407943,34.489770492901165,17,17,126
pure_leveraged_full_top2_lb6m,pure_leveraged_full,10,2,6,137.6653273693661,14.35112237667977,123.31420499268634,1.9793487150970124,-28.871170984570107,48.311174321353484,21.901585963827277,17,17,101
