period,from,to,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,n_years_positive,n_years_total
2003-2009 (GFC era),2003-01-31,2009-12-31,29.336044048504295,5.4195497330051134,23.916494315499182,1.5458051828845636,-20.191737945175394,28.922235330569933,-29.129673285739354,6,7
2010-2019 (post-GFC bull),2010-01-31,2019-12-31,25.333493099880442,14.069227902805359,11.264265197075083,1.8195347328869806,-15.704496153382724,4.527413547497309,2.747763663858894,10,10
2020-2026 (COVID+AI),2020-01-31,2026-04-30,36.630044546718096,15.14866909953978,21.481375447178316,2.0485477720310055,-12.871814844831247,16.373825165596084,-3.3568272675141166,6,7
2013-2017 (mid bull),2013-01-31,2017-12-31,28.748599571573806,15.859436663092419,12.889162908481387,2.3385453828813683,-7.248282110301053,5.50015367726514,2.747763663858894,5,5
2018-2022 (vol regime),2018-01-31,2022-12-31,32.97961443118196,9.313185253994005,23.66642917718795,1.7870118684264842,-12.871814844831261,15.223384389862812,8.245240278080278,5,5
