universe,n_assets,top_n,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,n_years_positive,n_years_total
default_12 (9 sectors + TLT + EFA + EEM),12,2,29.514113026868948,11.458029424329009,18.05608360253994,1.7744535414904063,-20.191737945175394,18.77852160323237,-29.129673285739354,22,24
9_sectors_only,9,2,26.0658165758366,11.458029424329009,14.60778715150759,1.7087921589403823,-15.704496153382742,12.533431340257078,-10.518845855587752,22,24
8_sectors (no XLF),8,2,25.41147860506092,11.458029424329009,13.953449180731912,1.6703987721122917,-15.704496153382738,12.776184497546272,-10.518845855587752,21,24
3_broad (SPY/QQQ/IWM),3,2,17.183182957068578,11.458029424329009,5.725153532739569,1.2262873458649215,-17.097334612145396,9.609235472760613,-14.10945979120812,18,24
5_broad (SPY/QQQ/IWM/TLT/EFA),5,2,20.93444035272882,11.458029424329009,9.476410928399812,1.5640721107662379,-20.1917379451754,17.9338248346876,-32.16911003400392,21,24
asset_classes (TLT/EFA/EEM/USO/SLV),5,2,25.427178128508523,11.458029424329009,13.969148704179513,1.3711522718392324,-23.622326141392044,27.39844953642048,-28.36434335921051,17,24
intl_only (EFA/EEM),2,2,10.889805691643817,11.458029424329009,-0.5682237326851922,0.8964202430740412,-22.4391119209742,13.935291003679431,-23.780292899223078,12,24
stock_etfs (SPY/QQQ/IWM/EFA/EEM),5,2,19.920282829529977,11.458029424329009,8.462253405200968,1.3262783650892118,-22.262962014064453,9.223710350447442,-11.339616869434163,20,24
sectors_plus_bonds (9sectors + TLT),10,2,27.887973462127146,11.458029424329009,16.429944037798137,1.7988325497297701,-20.19173794517538,18.188946917184357,-30.65525201652872,22,24
minimal (SPY/TLT),2,2,14.15845604685424,11.458029424329009,2.7004266225252316,1.3429758977144155,-20.191737945175408,18.613875389836796,-36.3555983632648,11,24
