split,from,to,cagr_A,edge_A,sharpe_A,mdd_A,cagr_B,edge_B,sharpe_B,mdd_B,cagr_B25,edge_B25,sharpe_B25,mdd_B25
A1,2011-01-01,2018-12-31,20.538843505171744,9.24013089529816,0.8813884931198702,-33.91694266133236,22.205011192115066,10.906298582241481,1.3581388265009102,-22.812387547467175,21.557255447925726,10.258542838052142,1.083014407479625,-28.510586649043923
A2,2015-01-01,2021-12-31,48.84853316243232,34.020854242909635,1.085286915310281,-33.916942661332364,40.589657202340554,25.761978282817875,1.4518960308048794,-22.812387547467157,45.09680871018475,30.269129790662074,1.2275449416691144,-28.510586649043912
A3,2018-01-01,2024-12-31,44.8733234495039,31.153466134139986,0.9666081395712813,-34.98912794975842,39.7526113283428,26.032754012978888,1.2917956641056003,-22.81238754746716,42.80384371935715,29.083986403993233,1.0962906823487215,-28.51058664904392
R1_GFC,2008-01-01,2010-12-31,-16.75932132722977,-13.97751243414832,0.2052336977900418,-93.05866852172943,10.040482851535781,12.822291744617232,0.43391738149408343,-64.07790966383496,-1.5150540679810143,1.2667548251004357,0.2856514243961868,-83.15281434395031
R2,2011-01-01,2013-12-31,25.095053808968792,9.02505072569162,1.12134401227875,-29.703312070723182,26.094617156257517,10.024614072980345,1.8049040576591973,-16.851221116897005,25.778465630803083,9.708462547525912,1.404019109620971,-23.426205700162317
R3,2014-01-01,2016-12-31,30.453881031245665,21.41352899824995,1.1795842755529697,-19.40103235323313,28.778255839124878,19.737903806129165,1.7151406271470677,-9.733972895141545,29.848583999374622,20.80823196637891,1.4087663397744077,-14.589931779885159
R4,2017-01-01,2019-12-31,23.10878084911101,8.027667465582034,0.8899613049473498,-33.91694266133236,23.73172758008526,8.650614196556283,1.270766618872544,-22.81238754746718,23.596786733641338,8.515673350112362,1.049517998279631,-28.51058664904392
R5_COVID,2020-01-01,2022-12-31,47.81320269429374,40.19472633948047,0.8619872533979432,-34.989127949758426,47.67352621356211,40.05504985874884,1.2240029014252753,-15.644582952554147,48.51502067416074,40.89654431934746,1.0015517991087974,-24.497230249804982
R6_AI,2023-01-01,2024-12-31,46.77754157770102,21.2480707294078,1.4980016281778015,-12.213466350646913,36.22171241216883,10.692241563875605,1.7141482177856766,-8.078554125292499,41.626892991766674,16.09742214347345,1.6075057854085635,-9.632757314760717
STRICT,2021-01-01,2024-12-31,39.720772139999895,26.21635506320952,1.0663164086865222,-34.989127949758426,36.97735546266612,23.472938385875743,1.4402447928799595,-15.644582952554146,38.753581411567154,25.24916433477678,1.2274095330192116,-24.497230249804986
