date,ret_m,equity,picks,next_picks,n_rotations
2003-01-31,0.0,1.0,,,0
2003-02-28,0.0,1.0,,,0
2003-03-31,0.0,1.0,,,0
2003-04-30,0.0,1.0,,,0
2003-05-31,0.0,1.0,,"XLV,XLF",0
2003-06-30,0.0232001144969326,1.0232001144969325,"XLV,XLF","XLV,XLK",1
2003-07-31,0.007523530049805605,1.0308981913053146,"XLV,XLK","XLK,XLY",2
2003-08-31,0.0489162309835674,1.0813258453517471,"XLK,XLY","XLK,XLB",3
2003-09-30,-0.02735991499929541,1.0517408621363822,"XLK,XLB","XLK,XLU",4
2003-10-31,0.03957620971645531,1.0933647790636571,"XLK,XLU","XLU,XLB",5
2003-11-30,0.011926738126424696,1.1064050544602055,"XLU,XLB","EFA,XLK",6
2003-12-31,0.058365292729839036,1.170980709341549,"EFA,XLK","EFA,XLB",7
2004-01-31,-0.016975896668090906,1.151102261819439,"EFA,XLB","XLK,EFA",8
2004-02-29,-0.0017107855871774653,1.149132972660551,"XLK,EFA","EFA,XLB",9
2004-03-31,-0.011675645877464835,1.135716103005648,"EFA,XLB","EEM,EFA",10
2004-04-30,-0.06645185759064876,1.0602456582653101,"EEM,EFA","EEM,EFA",11
2004-05-31,0.011544884241301845,1.072486071657326,"EEM,EFA","EEM,EFA",11
2004-06-30,0.021388699572346348,1.0954251540395303,"EEM,EFA","XLE,XLB",11
2004-07-31,0.003017414849366574,1.098730506165699,"XLE,XLB","XLE,EFA",12
2004-08-31,-0.0022507287495330815,1.0962575618274828,"XLE,EFA","XLE,XLU",13
2004-09-30,0.0514887397004567,1.1527024820730754,"XLE,XLU","XLE,XLB",14
2004-10-31,-0.002212780711022599,1.1501518042551961,"XLE,XLB","XLE,XLU",15
2004-11-30,0.05549088328860091,1.2139747437892952,"XLE,XLU","XLE,XLU",16
2004-12-31,-0.0017885424981308184,1.2118034983683705,"XLE,XLU","XLE,XLU",16
2005-01-31,0.027524987687950864,1.2451583747411756,"XLE,XLU","XLE,XLU",16
2005-02-28,0.09461272584907532,1.3629662026892426,"XLE,XLU","XLE,EEM",16
2005-03-31,-0.0495985885330848,1.2953650028175578,"XLE,EEM","XLE,XLU",17
2005-04-30,-0.012120714791377218,1.2796642530676747,"XLE,XLU","XLU,XLE",18
2005-05-31,0.0136003464303866,1.297068130223977,"XLU,XLE","XLE,XLU",18
2005-06-30,0.0646631507838783,1.380940642305613,"XLE,XLU","XLE,XLU",18
2005-07-31,0.04668148707778741,1.445405005054594,"XLE,XLU","XLE,EEM",18
2005-08-31,0.038047721647626986,1.500399372354998,"XLE,EEM","XLE,EEM",19
2005-09-30,0.07469850756691965,1.6124769662242595,"XLE,EEM","XLE,EEM",19
2005-10-31,-0.07687511044298218,1.4885176213590048,"XLE,EEM","XLE,EEM",19
2005-11-30,0.03640730126575187,1.5427105308392026,"XLE,EEM","XLE,EEM",19
2005-12-31,0.03952721529309444,1.603689582126608,"XLE,EEM","XLE,EEM",19
2006-01-31,0.14403874208683243,1.8346830122338826,"XLE,EEM","XLE,EEM",19
2006-02-28,-0.0653823072107354,1.7147272038936896,"XLE,EEM","EEM,XLE",19
2006-03-31,0.032054423497922646,1.7696917958707066,"EEM,XLE","EEM,XLE",19
2006-04-30,0.057759720740939824,1.8719086997977308,"EEM,XLE","EEM,XLE",19
2006-05-31,-0.0696269528782168,1.7415734009645902,"EEM,XLE","EEM,XLE",19
2006-06-30,0.013758479331708595,1.7655348026064153,"EEM,XLE","EEM,EFA",19
2006-07-31,0.015267126230581851,1.7924894453022928,"EEM,EFA","EEM,XLE",20
2006-08-31,-0.017996296987997595,1.7602312728967815,"EEM,XLE","EEM,EFA",21
2006-09-30,-0.0037440116957647702,1.753640946423805,"EEM,EFA","XLF,XLB",22
2006-10-31,0.040723784659775,1.825055842696532,"XLF,XLB","EEM,EFA",23
2006-11-30,0.04428777365264891,1.9058835027613201,"EEM,EFA","EEM,EFA",24
2006-12-31,0.0432850679716249,1.9883797997243422,"EEM,EFA","EEM,EFA",24
2007-01-31,0.00753465943805498,2.003361564348773,"EEM,EFA","EFA,XLB",24
2007-02-28,0.012272958119543154,2.027948736926328,"EFA,XLB","XLU,XLB",25
2007-03-31,0.0292695274520402,2.0873058381531235,"XLU,XLB","XLU,XLB",26
2007-04-30,0.032049433651139214,2.1542028081226476,"XLU,XLB","XLU,XLV",26
2007-05-31,0.01036626946838376,2.1765338549211957,"XLU,XLV","EEM,XLB",27
2007-06-30,0.014732809925894208,2.2086003145030237,"EEM,XLB","EEM,XLK",28
2007-07-31,0.0020941911489829605,2.2132255457332968,"EEM,XLK","EEM,XLK",29
2007-08-31,0.014793961266001854,2.2459679187298014,"EEM,XLK","EEM,XLE",29
2007-09-30,0.09435309109699991,2.4578819343666534,"EEM,XLE","EEM,XLE",30
2007-10-31,0.07205139481441614,2.634975756026926,"EEM,XLE","EEM,XLE",30
2007-11-30,-0.059305813242611805,2.478706375941183,"EEM,XLE","EEM,XLE",30
2007-12-31,0.03437315753503167,2.5639073406844965,"EEM,XLE","XLE,EEM",30
2008-01-31,-0.1060476225612102,2.292011062737671,"XLE,EEM","EEM,XLE",30
2008-02-29,0.05630778553297211,2.421069130097503,"EEM,XLE","XLE,EEM",30
2008-03-31,-0.030446594316688336,2.347355820480767,"XLE,EEM","XLE,TLT",30
2008-04-30,0.03898612102133098,2.438870118578156,"XLE,TLT","XLE,EEM",31
2008-05-31,0.04131258234320462,2.539626141176297,"XLE,EEM","XLE,EEM",32
2008-06-30,-0.0305705154313185,2.461988461037687,"XLE,EEM","XLE,TLT",32
2008-07-31,-0.08190223686725567,2.260346098937328,"XLE,TLT","TLT,XLE",33
2008-08-31,0.015376333111337348,2.2951019335015004,"TLT,XLE","TLT,XLE",33
2008-09-30,-0.06727478382648888,2.14069944706543,"TLT,XLE","TLT,XLP",33
2008-10-31,-0.07284638328353149,1.9847572346496578,"TLT,XLP",TLT,34
2008-11-30,0.14316328436280842,2.268901599024948,TLT,TLT,35
2008-12-31,0.13652390140270176,2.578660897222662,TLT,TLT,35
2009-01-31,-0.13070844407878612,2.241608143539881,TLT,TLT,35
2009-02-28,-0.015319313370912191,2.207268245934205,TLT,TLT,35
2009-03-31,0.0404734973577352,2.296604111453836,TLT,TLT,35
2009-04-30,-0.0695203329466123,2.1369434289790066,TLT,TLT,35
2009-05-31,-0.03694949597050323,2.0579844463607535,TLT,TLT,35
2009-06-30,0.0075107703760826094,2.0734414949749187,TLT,TLT,35
2009-07-31,0.005760005174316074,2.085384528714616,TLT,TLT,35
2009-08-31,0.022309723997131048,2.1319088819781262,TLT,"TLT,EEM",35
2009-09-30,0.0630170406180692,2.2662554705877644,"TLT,EEM","EEM,XLK",36
2009-10-31,-0.023948580168276667,2.211981869768598,"EEM,XLK","EEM,XLK",37
2009-11-30,0.06691634143261593,2.3599996038087894,"EEM,XLK","EEM,XLB",37
2009-12-31,0.026223954019625573,2.4218881249054056,"EEM,XLB","EEM,XLK",38
2010-01-31,-0.08225195028516447,2.222683103259456,"EEM,XLK","EEM,XLY",39
2010-02-28,0.03622684129091497,2.303203891281235,"EEM,XLY","XLF,XLI",40
2010-03-31,0.08695962175409255,2.503489630489605,"XLF,XLI","XLI,EEM",41
2010-04-30,0.019955714460316964,2.5534485547100205,"XLI,EEM","XLY,XLI",42
2010-05-31,-0.08127471437792572,2.345917752747236,"XLY,XLI","XLY,XLI",43
2010-06-30,-0.08297231195537302,2.151271533144645,"XLY,XLI","XLI,XLY",43
2010-07-31,0.0917825825697215,2.348720790265385,"XLI,XLY","XLI,XLY",43
2010-08-31,-0.05454415171443128,2.2206118071463106,"XLI,XLY","TLT,XLY",43
2010-09-30,0.0420059292219902,2.313890669546814,"TLT,XLY","XLY,XLI",44
2010-10-31,0.04157257856777069,2.4100850712037807,"XLY,XLI","XLY,XLI",45
2010-11-30,0.01930160053462704,2.456603570502624,"XLY,XLI","XLY,XLI",45
