offset,first_month,n_months,cagr_pct,spy_cagr_pct,edge_pp,sharpe,max_dd_pct,y2014_edge_pp,y2018_edge_pp,y2024_edge_pp,y2025_edge_pp
0,Jan 2003,280,42.26056689124953,11.458029424329009,30.802537466920523,0.9824464015817509,-51.36596714185585,-0.9459306824967317,-4.247387765888188,-14.75644190235248,8.611571096234849
1,Feb 2003,279,42.44654294317607,11.620864020812704,30.825678922363366,0.9844512760423729,-51.365967141855876,-0.9459306824967317,-4.247387765888188,-14.75644190235248,8.611571096234849
2,Mar 2003,278,42.63410270796373,11.730444692479814,30.903658015483913,0.9864676948812059,-51.36596714185585,-0.9459306824967317,-4.247387765888188,-14.75644190235248,8.611571096234849
3,Apr 2003,277,42.82326633724125,11.764842948473841,31.05842338876741,0.9884957707606399,-51.36596714185586,-0.9459306824967317,-4.247387765888188,-14.75644190235248,8.611571096234849
4,May 2003,276,43.01405432355401,11.415743522724275,31.59831080082973,0.9905356178912583,-51.36596714185585,-0.9459306824967317,-4.247387765888188,-14.75644190235248,8.611571096234849
5,Jun 2003,275,43.20648750755893,11.200201090220553,32.00628641733838,0.9925873520593165,-51.365967141855876,-0.9459306824967317,-4.247387765888188,-14.75644190235248,8.611571096234849
