crisis,default_cagr,default_mdd,leveraged_cagr,leveraged_mdd,spy_cagr
2020 COVID crash (Feb-Apr),40.29206096602629,-1.1501053896264994,40.29206096602629,-1.1501053896264994,-25.185360577071727
2020 COVID full year,49.68031612209391,-3.5992315626266542,49.68031612209391,-3.5992315626266542,18.331634381392135
2022 bear,24.518880012468248,-18.991965307758203,24.518880012468248,-18.991965307758203,-18.175373553165997
2018 Q4 selloff,-28.86244757791372,-10.731211765267501,-28.86244757791372,-10.731211765267501,-44.099023568915975
2023-2024 AI rally,13.862845465097084,-5.478192571504524,13.862845465097084,-5.478192571504524,25.529470848293222
