lookback_days,lookback_months,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,n_years_positive,n_years_total
126,6,43.10104783211528,11.458029424329009,31.64301840778627,1.5000800800675647,-23.03123830001234,40.50983876250331,-3.850143607202172,23,24
189,9,39.51543563013604,11.458029424329009,28.05740620580703,1.4325407342111216,-23.031238300012337,33.78302281234119,-5.7671211095271175,23,24
252,12,37.75363253238893,11.458029424329009,26.295603108059918,1.3913339706583305,-24.445448783879282,34.22695604949985,-6.305658867922716,22,24
378,18,36.924670706707175,11.458029424329009,25.466641282378166,1.3672327378903042,-26.81745133678584,32.83365594350101,-6.282931260544178,21,24
504,24,33.864910987018334,11.458029424329009,22.406881562689325,1.2620379651671223,-26.63105036233938,31.33032394739473,-6.670019494279391,21,24
