entry_idx,entry_date,regime,picks,weights,initial_capital,nav,status,exit_date,exit_nav,return_pct
0,2003-09-30,recovery,"CSX,NVDA,BBT","0.333,0.333,0.333",1.0,1.2447084948896674,exited,2004-03-31,1.2447084948896674,24.47084948896674
1,2003-10-31,recovery,"MO,XEL,BBT","0.333,0.333,0.333",1.0,1.0726935736222922,exited,2004-04-30,1.0726935736222922,7.269357362229223
2,2003-11-28,recovery,"XEL,HAS,SPG","0.333,0.333,0.333",1.0,1.0188876183079292,exited,2004-05-31,1.0188876183079292,1.8887618307929177
3,2003-12-31,recovery,"MO,OXY,BBT","0.333,0.333,0.333",1.0,1.044173869966575,exited,2004-06-30,1.044173869966575,4.417386996657502
4,2004-01-30,recovery,"CSX,CMS,SPG","0.333,0.333,0.333",1.0,1.0138000656862152,exited,2004-07-30,1.0138000656862152,1.3800065686215168
5,2004-02-27,recovery,"CMS,NVDA,SPG","0.363,0.237,0.400",1.0,0.932539558074778,exited,2004-08-31,0.932539558074778,-6.746044192522205
6,2004-03-31,recovery,"AAPL,MO,SPG","0.348,0.252,0.400",2.244708494889667,2.4658556256708644,exited,2004-09-30,2.4658556256708644,9.851930942688703
7,2004-04-30,recovery,"NVDA,AAPL,SPG","0.200,0.400,0.400",2.072693573622292,3.0120347826612144,exited,2004-10-29,3.0120347826612144,45.319830243758894
8,2004-05-31,recovery,"OXY,AAPL,SPG","0.400,0.260,0.340",2.018887618307929,3.2086599715636597,exited,2004-11-30,3.2086599715636597,58.93207439911406
9,2004-06-30,recovery,"AAPL,TJX,SPG","0.304,0.400,0.296",2.044173869966575,2.86058657450481,exited,2004-12-31,2.86058657450481,39.93851582456558
10,2004-07-30,normal,"AAPL,GLW,BBT","0.338,0.262,0.400",2.0138000656862154,2.8489471008841742,exited,2005-01-31,2.8489471008841742,41.47119912389998
11,2004-08-31,normal,"AAPL,SBUX,SPG","0.289,0.400,0.311",1.932539558074778,3.056164766137767,exited,2005-02-28,3.056164766137767,58.14241697501703
12,2004-09-30,recovery,"AAPL,VLO,SPG","0.324,0.341,0.335",3.4658556256708644,5.916339447539138,exited,2005-03-31,5.916339447539138,70.70357471667472
13,2004-10-29,recovery,"AAPL,SRE,SPG","0.313,0.400,0.287",4.012034782661214,5.006361118281804,exited,2005-04-29,5.006361118281804,24.783592104379657
