variant,description,cagr_lump_sum_pct,cagr_dca_pct,edge_lump_sum_pp,wf_mean_pct,wf_min_pct,wf_max_pct,wf_mean_edge_pp,wf_n_beat_spy,wf_n_positive,sharpe,max_dd_pct,y2014_edge_pp,y2018_edge_pp,y2024_edge_pp,y2025_edge_pp
baseline_v5,"v5 production: K=3 alpha (GBM + Chronos), inv-vol cap 0.40",43.7938720301968,44.04015016383569,32.70320398699995,46.55462856649886,20.365992163187553,99.91200649306917,34.163801293361104,10,10,0.998815058879692,-51.365967141855876,-0.9459306824967317,-4.247387765888188,-14.75644190235248,8.611571096234849
anchor_idio,K=2 alpha + 1 top idio_mom_12_1 (beta-stripped momentum),38.94535244924236,38.206086771587145,27.854684406045504,41.77994841301626,23.17537899136841,72.83633933681996,29.389121139878505,10,10,0.986399884657351,-50.845288916626366,21.928682863633277,2.072038185315539,19.17437737563037,-6.4928115500347605
anchor_chronos_gated,K=2 alpha + 1 top mom_12_1 from Chronos-passed cohort,34.97154126458752,34.682513290643755,23.880873221390676,39.76137633280736,23.801028576848047,88.81798195643047,27.37054905966961,10,10,0.9624600611420288,-57.38516359624713,0.7981674890347179,2.072038185315539,47.04783777669847,-6.4928115500347605
anchor_quality_5y,K=2 alpha + 1 top quality_score_5y (long-term quality),36.33773137231009,35.773333650153425,25.24706332911324,39.394474101885436,14.210976705759283,72.66786088275576,27.00364682874769,9,10,1.041644501749677,-58.77189818300374,-5.616719362135081,-4.2865605794295885,19.037240722689287,-11.226670760823865
anchor_sharpe_5y,K=2 alpha + 1 top sharpe_5y (long-term risk-adjusted),35.91309142123009,35.58630192691121,24.822423378033243,37.297850826820614,14.4824910249016,51.692828690421244,24.907023553682865,9,10,1.0002351885212346,-56.367841731511895,3.0048647381085702,-7.937734655835649,19.39839945572952,-11.945486543945094
anchor_uptrend,K=2 alpha + 1 top mom_12_1 filtered to d_sma200>0 AND mom_3y>0,33.92756577896381,33.04355393848357,22.83689773576696,36.08971571268205,18.58595491256063,65.22061371176278,23.698888439544305,10,10,0.9415644694402199,-56.36847951189027,0.7981674890347179,2.072038185315539,6.758512518164328,-12.745488453020993
anchor_mom12,K=2 alpha + 1 top mom_12_1 anchor (previous run's winner),33.63159116449741,32.75171695215211,22.54092312130056,35.53545832256752,23.801028576848047,65.22061371176278,23.144631049429773,10,10,0.9343706656202841,-59.89013263836833,0.7981674890347179,2.072038185315539,6.758512518164328,-12.745488453020993
anchor_low_cap_0.30,K=2 alpha + 1 top mom_12_1 anchor; inv-vol cap 0.30 (vs 0.40),32.27546103212826,31.75909376890287,21.184792988931413,34.06936737471383,22.140552716343297,57.5675088695482,21.678540101576083,10,10,0.9069036928264584,-58.5650248046798,0.5706546736029994,3.9304763838092005,-7.727001977911541,-9.120099941907567
anchor_multi_horizon,"K=2 alpha + 1 anchor by avg rank(mom_12_1, mom_6_1, mom_3y)",32.11623683480658,31.1607157351685,21.02556879160973,34.06067318833157,19.724968963825496,74.88624880323351,21.669845915193825,10,10,0.909266298262449,-56.36847951189026,9.375628588798701,2.072038185315539,27.3346109848154,-6.4928115500347605
anchor_rs_spy,K=2 alpha + 1 top rs_12m_spy (relative strength vs SPY),30.99603691818864,30.12305963654065,19.90536887499179,33.93038596124917,13.518522905193775,79.93362935684998,21.53955868811142,9,10,0.8833639410726373,-61.982457396810474,0.7981674890347179,2.072038185315539,31.248622093162748,-13.68638275301115
anchor_vol_adj,K=2 alpha + 1 top mom_per_unit_vol_12 (Sharpe-like momentum),30.69816275607804,29.654168355311494,19.60749471288119,32.6719929600052,5.029688093632068,63.5430269581863,20.28116568686745,9,10,0.905540563556534,-61.982457396810474,12.168443771001813,-20.021460110363932,18.060337400794847,-15.400210582877305
dual_anchor_12_6,K=1 alpha + 1 mom_12_1 anchor + 1 mom_6_1 anchor,25.44906337942607,23.486311508765677,14.358395336229224,22.303174136187202,-3.071430548537646,54.39633505616743,9.912346863049455,8,9,0.8416930388705154,-50.752303026722025,-46.541866616584585,0.7380518872957764,61.9442720116266,35.839185625641456
