freq,freq_label,universe,cagr,spy_cagr,edge,sharpe,mdd,n_rotations
D,Daily,unleveraged_12,26.74969675303027,11.301088887279608,15.448607865750663,1.438292777289913,-26.585407488693747,824
W,Weekly (Fri),unleveraged_12,10.526640426239432,11.191900757411188,-0.6652603311717566,0.6547302905125659,-26.585407488693804,336
2W,Biweekly,unleveraged_12,11.416951534322806,11.191900757411188,0.22505077691161723,0.6958688112157363,-27.58702175965096,223
ME,Monthly,unleveraged_12,12.084047794678131,11.301088887279608,0.7829589073985233,0.7267636402600961,-27.599384589365954,136
2ME,Bimonthly,unleveraged_12,11.586993720839732,10.879450573118877,0.7075431477208554,0.6805299250629807,-34.66318728540501,86
QE,Quarterly,unleveraged_12,9.046224071610043,10.814874721515121,-1.7686506499050783,0.5517798183479465,-37.16365044164047,67
D,Daily,pure_3x_leveraged,75.36447146339921,13.438376120419381,61.926095342979835,1.3196730158285126,-51.35605642170137,489
W,Weekly (Fri),pure_3x_leveraged,14.649964205397637,13.39084145215712,1.2591227532405167,0.5299738071842498,-81.34988294728382,191
2W,Biweekly,pure_3x_leveraged,13.718713904954228,13.39084145215712,0.3278724527971075,0.5166418805817342,-84.29461047582986,125
ME,Monthly,pure_3x_leveraged,14.42937447200212,13.438376120419381,0.9909983515827392,0.5274593348926703,-83.26604777306608,84
2ME,Bimonthly,pure_3x_leveraged,12.260612222004742,12.829740902529373,-0.5691286805246314,0.49373688794390863,-77.81155973913116,46
QE,Quarterly,pure_3x_leveraged,6.661621035153842,12.829740902529373,-6.168119867375531,0.40675592626113083,-79.73370895906928,37
