date,regime,sleeve_w,dd_52w,rvol60,ret_m,equity
2003-01-31,normal,0.4273623187008306,0.25777193420602074,0.2136811593504153,0.0,1.0
2003-02-28,normal,0.4273623187008306,0.25777193420602074,0.2136811593504153,0.0,1.0
2003-03-31,normal,0.4097112966669491,0.26777636994309095,0.20485564833347455,0.0,1.0
2003-04-30,recovery,0.4384760551420726,0.23866036418035375,0.2192380275710363,0.0,1.0
2003-05-30,recovery,0.43458220447268614,0.1571162218522325,0.21729110223634307,0.015552033187733455,1.0155520331877335
2003-06-30,recovery,0.41291599664364625,0.06066791027994156,0.20645799832182313,0.010579677107799225,1.0262962457850286
2003-07-31,recovery,0.3204068631214223,0.03617277089781146,0.16020343156071115,0.00793102208337558,1.0344358239744351
2003-08-29,recovery,0.3068300670314058,0.018797238573363573,0.1534150335157029,0.011575815598089373,1.046410262320821
2003-09-30,recovery,0.2867199318548784,0.0,0.1433599659274392,0.004884387641886139,1.0515213356744435
2003-10-31,recovery,0.26160240487375613,0.040787186470544246,0.13080120243687807,0.08711692148496512,1.1431266373141598
2003-11-28,recovery,0.23086352733060347,0.0010431576058645975,0.11543176366530174,0.051372123649063996,1.2018514802728015
2003-12-31,recovery,0.23926805632200795,0.0,0.11963402816100398,0.06662707058845066,1.2819273236857713
2004-01-30,bull,0.19430346900650816,0.0,0.09715173450325408,-0.023530090677284482,1.2517634575177565
2004-02-27,bull,0.2002747582520564,0.02062679082312957,0.1001373791260282,0.024194131300619745,1.282048786966259
2004-03-31,bull,0.18315744715180923,0.009899912558786417,0.09157872357590462,0.07515937472063829,1.3784067721559956
2004-04-30,bull,0.23661977234360065,0.024776334904593522,0.11830988617180033,-0.058963434613348395,1.2971311745753789
2004-05-31,bull,0.24669411715420633,0.043229606454117,0.12334705857710317,0.011078748015614637,1.3115017640016977
2004-06-30,bull,0.2643195204060043,0.026845539487419634,0.13215976020300216,0.06003263841107362,1.3902346751754968
2004-07-30,normal,0.23091366383413123,0.008841030138371564,0.11545683191706561,-0.056546181911005286,1.311622212334036
2004-08-31,normal,0.21062940032580824,0.04077514189240572,0.10531470016290412,0.001974398113544758,1.3142118767557516
2004-09-30,normal,0.2209443854107717,0.038438497160176666,0.11047219270538584,0.07103213231534411,1.407563148675863
2004-10-29,normal,0.21669895659262706,0.028786850793481644,0.10834947829631353,0.1142352801709317,1.568356519323129
2004-11-30,normal,0.2162794029807888,0.016273555324458844,0.1081397014903944,0.13586573665471974,1.7814424331581982
2004-12-31,normal,0.2107165105228462,0.007158588153923673,0.1053582552614231,-0.03708533940500755,1.7153770358940439
2005-01-31,normal,0.18679406017404365,0.004037776736993903,0.09339703008702183,0.11771316449951165,1.9172994950989244
2005-02-28,normal,0.16908110087808303,0.026367701503189234,0.08454055043904152,0.1960826339004594,2.293248630073942
2005-03-31,normal,0.18501682826519653,0.006588173626056126,0.09250841413259826,-0.02867104031033998,2.2274988061594603
2005-04-29,normal,0.2001420228837865,0.035562075728153286,0.10007101144189325,-0.046167486098971894,2.124660785990617
2005-05-31,normal,0.24820764531666717,0.053630725944967095,0.12410382265833358,0.06885268699255442,2.270949390053784
2005-06-30,normal,0.2409273451102943,0.023134540218383237,0.12046367255514714,0.019697210862286325,2.315680759047254
2005-07-29,bull,0.2302066947541794,0.02165464309571008,0.1151033473770897,0.08682858556713546,2.5167480439803573
2005-08-31,bull,0.17179701660891736,0.006663164449398962,0.08589850830445868,-3.225796116353326e-06,2.5167399254642913
2005-09-30,bull,0.17775978139842152,0.01715850167152566,0.08887989069921076,0.0665770926511958,2.684297152660891
2005-10-31,normal,0.17195804850686372,0.009270584039079655,0.08597902425343186,-0.025748278047352285,2.615181123212462
2005-11-30,normal,0.23305632443188953,0.032702083427900375,0.11652816221594477,0.016793092635534794,2.6590981020732714
2005-12-30,normal,0.22000227201043862,0.01352905318623876,0.11000113600521931,0.027575741854919986,2.732424704902952
2006-01-31,normal,0.2055758189337238,0.020655572514559406,0.1027879094668619,0.07434545521280402,2.9355680634236734
2006-02-28,normal,0.17316785164282908,0.013997269176697635,0.08658392582141454,-0.013391509502328803,2.896256375807602
2006-03-31,normal,0.18705310782768272,0.009501604887459325,0.09352655391384136,-0.02532965755509078,2.822895193616647
